term,npar,AIC,BIC,logLik,minus2logL,statistic,df,p.value
m0,3,736.1300211586658,746.6337957903,-365.0650105793329,730.1300211586658,NA,NA,NA
m1,4,691.2336964862448,705.2387293284237,-341.6168482431224,683.2336964862448,46.89632467242109,1,7.48429353151494e-12
m2,5,693.007834158462,710.5141252111856,-341.503917079231,683.007834158462,0.22586232778280646,1,0.6346089686656183
m3,6,693.66096125534,714.6685105186084,-340.83048062767,681.66096125534,1.3468729031219482,1,0.24582554490823869
m4,7,694.7674112953507,719.2762187691638,-340.38370564767536,680.7674112953507,0.8935499599892864,1,0.34451711209599584
