term,npar,AIC,BIC,logLik,deviance,statistic,df,p.value
m0,3,691.9992287060401,702.453619506512,-342.99961435302004,685.9992287060401,NA,NA,NA
m1,4,692.9765917900115,706.9157795239742,-342.48829589500576,684.9765917900115,1.0226369160285458,1,0.3118943408381535
m2,5,689.7363642351738,707.1603489026271,-339.8681821175869,679.7363642351738,5.240227554837702,1,0.022070386952977764
m3,6,688.4515002213479,709.3602818222919,-338.22575011067397,676.4515002213479,3.2848640138258816,1,0.06992142036635027
m4,7,690.3804167489261,714.7739952833607,-338.19020837446305,676.3804167489261,0.071083472421833,1,0.7897657291520978
