term,npar,AIC,BIC,logLik,minus2logL,statistic,df,p.value
m0,3,716.430419638467,726.9341942701012,-355.2152098192335,710.430419638467,NA,NA,NA
m1,4,717.4563657571597,731.4613985993386,-354.72818287857984,709.4563657571597,0.9740538813073272,1,0.3236712293765903
m2,5,713.5025413158824,731.008832368606,-351.7512706579412,703.5025413158824,5.953824441277334,1,0.014685392147115967
m3,6,712.6200263497282,733.6275756129966,-350.3100131748641,700.6200263497282,2.88251496615419,1,0.08954606493264256
m4,7,714.6182247386693,739.1270322124824,-350.3091123693346,700.6182247386693,0.0018016110589087475,1,0.9661436456332769
