term,npar,AIC,BIC,logLik,deviance,statistic,df,p.value
m0,3,683.7375114512726,694.1543234722869,-338.8687557256363,677.7375114512726,NA,NA,NA
m1,4,641.1543934616295,655.0434761563155,-316.57719673081476,633.1543934616295,44.58311798964303,1,2.437846888110245e-11
m2,5,642.8769502427936,660.238303611151,-316.4384751213968,632.8769502427936,0.2774432188359697,1,0.598381939402535
m3,6,642.7068980329867,663.5405220750156,-315.35344901649336,630.7068980329867,2.1700522098068404,1,0.1407214563408484
m4,7,644.4102368047835,668.7161315204838,-315.20511840239175,630.4102368047835,0.29666122820322016,1,0.5859831414452241
