term,npar,AIC,BIC,logLik,minus2logL,statistic,df,p.value
m0,3,-863.1988642659209,-852.6950896342867,434.59943213296043,-869.1988642659209,NA,NA,NA
m2,5,-860.0356838685293,-842.5293928158056,435.01784193426465,-870.0356838685293,0.8368196026084433,2,0.6580924859991423
m3,6,-858.2793697718677,-837.2718205085993,435.13968488593383,-870.2793697718677,0.24368590333835982,1,0.6215565442473563
m4,7,-858.3900803263465,-833.8812728525334,436.19504016317325,-872.3900803263465,2.1107105544788283,1,0.14627138599151532
m1,9,-857.9791486641001,-826.4678247691975,437.98957433205004,-875.9791486641001,3.589068337753588,2,0.1662048577120695
