term,npar,AIC,BIC,logLik,deviance,statistic,df,p.value
m0,3,-669.6493654586477,-659.1949746581757,337.82468272932385,-675.6493654586477,NA,NA,NA
m1,4,-678.0957927771831,-664.1566050432205,343.04789638859154,-686.0957927771831,10.44642731853537,1,0.0012288691107225397
m2,5,-676.262447382376,-658.8384627149227,343.131223691188,-686.262447382376,0.166654605192889,1,0.683102242672153
m3,6,-675.3832557276161,-654.4744741266721,343.69162786380804,-687.3832557276161,1.120808345240107,1,0.28974446288301564
m4,7,-675.070574084333,-650.6769955498984,344.5352870421665,-689.070574084333,1.6873183567169008,1,0.19395484629919257
