term,npar,AIC,BIC,logLik,minus2logL,statistic,df,p.value
m0,3,-888.3154897216867,-877.8117150900525,447.15774486084337,-894.3154897216867,NA,NA,NA
m1,4,-886.9182073407062,-872.9131744985273,447.4591036703531,-894.9182073407062,0.6027176190194723,1,0.43754300590484657
m2,5,-884.9756090902987,-867.469318037575,447.48780454514934,-894.9756090902987,0.05740174959248634,1,0.8106507366103035
m3,6,-884.8326882956866,-863.8251390324182,448.4163441478433,-896.8326882956866,1.8570792053878904,1,0.17296228065233712
m4,7,-883.2387738697811,-858.729966395968,448.61938693489054,-897.2387738697811,0.4060855740945044,1,0.5239630298800658
