term,npar,AIC,BIC,logLik,deviance,statistic,df,p.value
m0,3,-792.1852565326003,-781.7684445115859,399.09262826630015,-798.1852565326003,NA,NA,NA
m1,4,-795.3028369811508,-781.4137542864648,401.6514184905754,-803.3028369811508,5.117580448550484,1,0.02368461788535847
m2,5,-794.7707024903747,-777.4093491220173,402.38535124518734,-804.7707024903747,1.4678655092238841,1,0.22568277043253926
m3,6,-793.7976387147705,-772.9640146727417,402.89881935738526,-805.7976387147705,1.026936224395854,1,0.3108793482789699
m4,7,-791.8938558421386,-767.5879611264382,402.9469279210693,-805.8938558421386,0.09621712736804966,1,0.7564173433008599
