,responses,targets,jitter,n1,n2
0,up,higher,20,8,1
1,up,lower,20,2,7
2,down,higher,18,2,6
3,down,higher,16,4,0
4,up,higher,14,4,8
5,up,higher,14,0,5
6,up,lower,14,4,2
7,down,lower,12,8,1
8,up,lower,12,7,6
9,down,higher,10,7,3
10,down,lower,8,6,5
11,up,lower,8,4,9
12,down,lower,6,0,5
13,up,higher,6,8,4
14,up,higher,6,0,2
15,down,lower,8,5,6
16,up,higher,8,6,2
17,up,higher,8,9,6
18,down,lower,10,1,2
19,down,lower,10,2,7
20,up,higher,10,6,2
21,down,lower,12,6,0
22,down,lower,12,7,7
23,down,lower,12,2,4
24,down,lower,14,2,5
25,down,lower,14,1,0
26,up,lower,14,0,0
27,down,higher,12,8,8
28,up,lower,10,5,0
29,up,higher,8,9,0
30,up,higher,8,2,0
31,up,higher,8,0,2
32,down,lower,10,4,4
33,down,lower,10,2,1
34,down,lower,10,4,2
35,down,higher,12,5,8
36,down,lower,10,1,1
37,up,lower,10,1,7
38,up,higher,8,1,0
39,up,higher,8,4,2
40,up,higher,8,6,4
41,up,higher,20,9,2
42,down,higher,20,7,1
43,down,lower,18,4,0
44,up,higher,18,0,4
45,down,higher,18,3,6
46,down,lower,16,0,2
47,down,higher,16,0,1
48,up,lower,14,7,0
49,up,higher,12,7,3
50,down,higher,12,4,7
51,down,lower,10,5,3
52,up,higher,10,4,0
53,up,higher,10,9,7
54,up,lower,12,9,6
55,down,lower,10,4,2
56,down,lower,10,0,4
57,up,higher,10,1,7
58,up,higher,12,0,1
59,down,lower,12,1,0
60,up,higher,12,5,0
61,up,lower,14,4,6
62,down,lower,12,9,9
63,up,lower,12,5,3
64,down,lower,10,6,4
65,down,lower,10,1,4
66,up,higher,10,7,8
67,up,higher,0,9,7
68,up,higher,2,3,1
69,up,higher,4,1,3
70,up,higher,6,7,3
71,up,higher,8,1,1
72,up,higher,10,0,1
73,up,lower,12,4,5
74,up,higher,10,7,0
75,up,higher,10,7,3
76,up,higher,10,8,4
77,up,higher,12,1,9
78,down,lower,12,6,8
79,up,higher,12,8,0
80,up,higher,14,8,4
81,down,lower,14,2,7
82,down,higher,14,9,2
83,up,lower,12,9,0
84,down,lower,10,3,5
85,down,lower,10,9,4
86,up,higher,10,3,1
87,down,lower,12,2,4
88,up,lower,12,3,4
89,down,lower,10,4,6
90,up,higher,10,4,7
91,up,higher,10,4,9
92,up,lower,20,2,8
93,down,higher,18,9,9
94,down,lower,16,3,4
95,down,higher,18,4,3
96,up,lower,16,6,6
97,down,lower,14,4,6
98,down,lower,14,0,3
99,up,higher,14,1,4
100,up,higher,16,0,5
101,down,lower,16,8,7
102,up,higher,16,3,6
103,up,lower,18,8,7
104,down,lower,16,8,1
105,down,lower,16,3,1
106,up,higher,16,5,4
107,down,lower,18,5,5
108,down,higher,18,4,5
109,down,lower,20,6,9
110,up,higher,20,3,8
111,down,lower,20,4,5
112,up,lower,20,4,0
113,down,higher,18,9,9
114,down,lower,16,4,0
115,up,higher,16,5,7
116,down,lower,16,9,9
117,up,lower,18,2,0
118,up,higher,16,3,7
119,down,lower,16,1,8
120,down,higher,16,0,6
121,up,higher,14,7,4
122,up,lower,14,7,1
123,down,lower,12,7,5
124,down,higher,12,7,5
125,up,higher,10,5,8
126,down,lower,10,3,9
127,up,higher,10,4,3
128,down,lower,12,2,7
129,up,lower,12,0,5
130,down,higher,10,6,7
131,up,lower,8,3,1
