,responses,targets,jitter,n1,n2
132,up,higher,6,6,9
133,down,lower,6,9,8
134,up,higher,6,3,5
135,down,lower,0,2,5
136,down,lower,2,3,2
137,up,higher,4,4,8
138,up,higher,6,0,6
139,up,higher,8,0,0
140,up,lower,10,2,6
141,up,higher,8,0,3
142,down,lower,8,3,4
143,down,higher,8,7,8
144,down,lower,6,0,6
145,up,higher,6,5,6
146,down,lower,6,0,2
147,up,higher,8,8,9
148,up,higher,8,7,9
149,down,lower,8,1,1
150,up,higher,10,8,7
151,up,lower,10,2,7
152,up,higher,8,9,1
153,down,lower,8,3,6
154,up,higher,8,3,4
155,up,higher,10,1,5
156,up,higher,10,2,8
157,down,lower,10,3,4
158,up,lower,12,0,4
159,up,higher,10,2,4
160,down,lower,10,9,3
161,down,higher,10,0,0
162,up,lower,8,6,0
163,down,lower,6,9,0
164,up,higher,6,8,3
165,down,lower,6,8,8
166,down,lower,0,7,5
167,down,lower,2,9,3
168,up,higher,4,8,8
169,up,higher,6,1,0
170,up,higher,8,8,2
171,up,higher,10,1,6
172,up,lower,12,3,1
173,up,higher,10,5,9
174,up,higher,10,2,9
175,down,higher,10,6,2
176,down,lower,8,3,6
177,down,higher,8,5,5
178,down,lower,6,5,2
179,down,lower,6,5,4
180,up,higher,6,8,8
181,down,lower,8,1,9
182,down,lower,8,6,2
183,down,lower,8,3,2
184,down,lower,10,0,8
185,down,lower,10,4,5
186,up,lower,10,3,4
187,down,lower,8,2,3
188,down,lower,8,6,1
189,up,higher,8,5,1
190,down,lower,10,3,9
191,up,higher,10,1,1
192,up,higher,10,8,1
193,up,lower,12,9,5
194,up,higher,10,2,4
195,up,higher,10,0,8
196,down,lower,10,8,5
197,up,lower,20,3,3
198,down,lower,18,2,9
199,up,higher,20,5,4
200,down,higher,20,0,2
201,up,higher,18,1,7
202,down,higher,18,8,8
203,up,lower,16,1,7
204,down,lower,14,3,1
205,up,lower,14,3,4
206,down,lower,12,0,4
207,up,higher,12,6,4
208,down,higher,12,2,1
209,up,higher,10,8,6
210,down,lower,10,8,9
211,up,higher,10,6,9
212,down,lower,12,2,9
213,up,lower,12,3,7
214,up,higher,10,7,0
215,up,lower,10,6,9
216,up,lower,8,0,8
217,down,lower,6,2,4
218,up,higher,6,1,8
219,down,lower,6,4,5
220,up,higher,8,1,1
221,down,lower,8,9,5
222,down,lower,8,5,4
223,down,lower,10,0,8
224,down,lower,10,4,6
225,down,lower,10,4,1
226,down,higher,12,0,8
227,up,higher,0,6,2
228,down,lower,2,6,3
229,down,lower,4,7,9
230,up,higher,6,1,4
231,down,lower,8,7,1
232,down,lower,10,1,6
233,down,higher,12,9,5
234,up,higher,10,1,9
235,up,higher,10,6,7
236,up,higher,10,8,9
237,down,lower,12,0,7
238,down,lower,12,6,7
239,down,lower,12,6,2
240,down,higher,14,8,2
241,down,higher,12,0,5
242,down,lower,10,0,8
243,down,higher,10,3,4
244,up,higher,8,3,2
245,up,higher,8,4,1
246,up,higher,8,8,8
247,up,lower,10,5,9
248,down,lower,8,5,7
249,down,lower,8,1,6
250,up,higher,8,9,1
251,down,higher,20,3,7
252,up,lower,18,7,0
253,up,lower,16,5,5
254,up,higher,14,4,2
255,down,lower,16,4,6
256,down,lower,16,8,6
257,down,higher,16,0,1
258,down,higher,14,9,5
259,down,lower,12,9,8
260,up,higher,12,1,2
261,up,higher,12,5,4
262,down,higher,14,4,1
263,up,higher,12,2,5
264,up,higher,12,6,4
265,down,lower,12,9,5
266,up,higher,14,2,0
267,down,higher,14,7,2
268,up,higher,0,4,8
269,up,higher,2,3,8
270,up,higher,4,3,1
271,up,higher,6,2,0
272,up,higher,8,4,1
273,up,lower,10,1,9
274,down,lower,8,9,2
275,down,lower,8,6,3
276,down,higher,8,8,3
277,up,higher,6,1,3
278,up,higher,6,6,0
279,up,higher,6,6,6
280,down,lower,8,1,8
281,up,higher,8,2,9
282,down,lower,8,2,6
283,down,lower,10,3,3
284,down,lower,10,1,7
285,down,higher,10,1,8
286,down,lower,8,2,0
287,down,lower,8,3,0
288,up,higher,8,3,5
289,down,higher,10,3,1
290,up,higher,8,4,5
291,down,lower,8,8,5
292,down,lower,8,0,2
