,responses,targets,jitter,n1,n2,rt,pid,abs_time,time
0,down,lower,0,8,53,0.9098605999606661,32,1741355311,116.34537290001754
1,up,higher,1,19,65,0.5092316999798641,32,1741355312,117.61512440000661
2,down,lower,2,5,17,0.918028799991589,32,1741355314,119.2867155999993
3,up,higher,3,70,26,0.5618003000272438,32,1741355315,120.59663159999764
4,down,lower,4,4,94,0.8597976999590173,32,1741355317,122.21045919996686
5,up,lower,5,78,89,1.7427201999817044,32,1741355319,124.70933039998636
6,down,lower,4,18,88,0.7972565000527538,32,1741355321,126.26777849998325
7,down,lower,4,89,10,0.7018353000166826,32,1741355322,127.71652459999314
8,down,lower,4,36,68,1.9129323000088334,32,1741355325,130.37647869996727
9,down,lower,5,74,9,2.2560539000551216,32,1741355328,133.387304999982
10,down,lower,5,39,61,1.4852481000125408,32,1741355330,135.6136805000133
11,up,higher,5,89,44,0.776351300009992,32,1741355331,137.13968949997798
12,up,higher,6,96,4,1.0624488000175916,32,1741355333,138.96003730001394
13,up,higher,6,99,99,1.7106149000464939,32,1741355336,141.4326428999775
14,up,lower,6,13,15,1.017885599983856,32,1741355338,143.2030655000126
15,up,higher,5,0,15,1.4500273000448942,32,1741355340,145.42078949999996
16,up,higher,5,79,35,0.8488350999541581,32,1741355341,147.03205109998817
17,up,higher,5,78,73,0.8611299000331201,32,1741355343,148.64584189996822
18,down,lower,6,38,37,0.8157220999710262,32,1741355345,150.22176350001246
19,up,higher,6,58,59,2.784373599977698,32,1741355348,153.76908359996742
20,down,lower,6,11,68,0.7723303999518976,32,1741355350,155.2959819000098
21,up,higher,7,47,0,2.5256071999901906,32,1741355353,158.5886765999603
22,down,lower,7,3,8,1.57711409998592,32,1741355355,160.9162667999626
23,down,lower,7,58,69,2.9396147000370547,32,1741355359,164.61078489996726
24,down,lower,8,51,29,0.8653599000535905,32,1741355361,166.24433289997978
25,down,higher,8,11,21,1.8663912999909371,32,1741355363,168.85871639999095
26,down,lower,7,26,66,1.3581027000327595,32,1741355365,170.9683015999617
27,up,higher,7,4,71,1.1237654999713413,32,1741355367,172.85885929997312
28,down,higher,7,16,24,0.8670712999883108,32,1741355369,174.48415289999684
29,down,lower,6,47,27,0.9736088000354357,32,1741355371,176.21544289996382
30,up,higher,6,64,59,0.6311171000124887,32,1741355372,177.60818430001382
31,up,higher,6,87,17,0.7085495999781415,32,1741355373,179.0832180000143
32,down,lower,0,64,55,0.8099090000032447,32,1741355377,182.86644459998934
33,down,lower,1,3,85,0.820066099986434,32,1741355379,184.43605329998536
34,up,higher,2,97,95,0.7044066000380553,32,1741355380,185.8963156999671
35,up,higher,3,11,29,0.5815142999636009,32,1741355382,187.23524000000907
36,down,lower,4,31,50,0.44053369999164715,32,1741355383,188.42805589997442
37,down,lower,5,7,64,0.9540363000123762,32,1741355384,190.13368319999427
38,up,higher,6,83,12,0.5737653000396676,32,1741355386,191.45412880001822
39,up,higher,7,72,77,3.294810099992901,32,1741355390,195.5070745999692
40,down,higher,8,94,60,0.8470819999929518,32,1741355391,197.10519179998664
41,up,higher,7,48,66,0.7990567000233568,32,1741355393,198.66426220000722
42,up,lower,7,27,27,2.5874255999806337,32,1741355396,201.99682329996722
43,down,lower,6,10,94,2.111033299996052,32,1741355399,204.8680699999677
44,up,higher,6,69,17,2.291927799989935,32,1741355402,207.91718099999707
45,down,lower,6,38,16,1.3242020000470802,32,1741355404,209.99626669997815
46,down,lower,7,68,53,0.7622772000031546,32,1741355406,211.51157510001212
47,up,higher,7,20,26,0.592388299992308,32,1741355407,212.84713989996817
48,down,lower,7,14,22,0.4554031999432482,32,1741355408,214.06145969999488
49,up,lower,8,76,36,0.5301530999713577,32,1741355410,215.35226409998722
50,up,lower,7,87,62,1.7255397000117227,32,1741355412,217.83124889997998
51,up,higher,6,47,57,2.485500900016632,32,1741355415,221.0712324999622
52,down,lower,6,81,72,1.9796685999608599,32,1741355418,223.8062624000013
53,down,lower,6,16,39,0.970686000015121,32,1741355420,225.52968460001284
54,up,lower,7,37,38,1.1588059000205249,32,1741355422,227.45345530001214
55,down,lower,6,3,56,0.711708799994085,32,1741355423,228.91930780000985
56,up,higher,6,33,14,0.9290634000208229,32,1741355425,230.59549919998972
57,down,higher,6,3,8,2.2035871000261977,32,1741355428,233.55960669997148
58,up,higher,5,37,84,0.8098159999935888,32,1741355429,235.1246912999777
59,down,higher,5,64,84,1.2928925000014715,32,1741355432,237.18362069997238
60,down,lower,4,79,31,2.0734188000205904,32,1741355434,240.0020729000098
61,up,higher,4,50,53,0.8185280000325292,32,1741355436,241.58021819998976
62,up,higher,4,21,39,0.5889678999665193,32,1741355437,242.92531949997647
63,down,higher,10,71,1,3.968644500011578,32,1741355446,251.2537486999645
64,up,lower,9,73,81,0.7404208999942057,32,1741355447,252.74988690001192
65,up,higher,8,47,86,1.1541650999570265,32,1741355449,254.64815319998888
66,up,lower,9,20,56,0.8482404000242241,32,1741355451,256.2375094000017
67,up,higher,8,84,81,0.7889460000442341,32,1741355452,257.78075049998006
68,up,lower,8,96,47,1.2814479999942705,32,1741355454,259.8046818000148
69,up,lower,7,65,37,0.8415766000398435,32,1741355456,261.4004581999616
70,up,lower,6,52,96,1.0041985000134446,32,1741355458,263.1623310999712
71,up,higher,5,32,74,0.6680406999657862,32,1741355459,264.5762306000106
72,down,higher,5,44,82,0.6590404000016861,32,1741355460,265.9924956000177
