,responses,targets,jitter,n1,n2,rt,pid,abs_time,time
0,up,higher,10,83,32,3.9093489999650046,33,1741437889,104.18261550005991
1,down,higher,10,94,94,0.9551304000196978,33,1741437891,105.87566979997791
2,up,higher,9,5,69,2.7867810999741778,33,1741437894,109.40797250007745
3,down,higher,9,63,57,2.653028199914843,33,1741437898,112.817432400072
4,down,lower,8,48,55,0.8449045999441296,33,1741437899,114.42260330007412
5,down,lower,8,69,72,0.7369841000763699,33,1741437901,115.91401649999898
6,up,higher,8,14,6,4.979938900098205,33,1741437906,121.66460850008298
7,up,lower,9,93,32,4.482682200032286,33,1741437912,126.91072380007245
8,down,lower,8,43,53,1.0774163000751287,33,1741437913,128.75506500003394
9,down,lower,8,91,84,0.6360769999446347,33,1741437915,130.1435233000666
10,up,lower,8,6,30,0.6845324999885634,33,1741437916,131.59290960000362
11,down,higher,7,87,69,0.8724861999507993,33,1741437918,133.2282468000194
12,up,higher,6,28,15,0.6313640000298619,33,1741437919,134.61296800000127
13,down,lower,6,68,39,0.9223765999777243,33,1741437921,136.2948911000276
14,down,lower,6,33,95,0.6324694999493659,33,1741437922,137.68786990002263
15,down,lower,7,11,2,0.5259350999258459,33,1741437924,138.96672809997108
16,down,lower,7,11,18,0.4845666999462992,33,1741437925,140.2099013000261
17,up,lower,7,17,36,0.5713209999958053,33,1741437926,141.54953750001732
18,down,lower,6,81,14,0.4036104999249801,33,1741437927,142.7076853000326
19,down,lower,6,66,41,0.4859866000479087,33,1741437929,143.95164360001218
20,up,higher,6,9,1,0.6161017999984324,33,1741437930,145.31686180003453
21,down,lower,0,45,24,0.5914526999695227,33,1741437934,148.99771849997342
22,down,lower,1,4,68,0.4178789999568835,33,1741437935,150.17218069999944
23,up,higher,2,75,32,0.47944689996074885,33,1741437936,151.40534409997053
24,down,lower,3,99,19,0.7142472000559792,33,1741437938,152.88148260000162
25,up,lower,4,83,71,0.6424254999728873,33,1741437939,154.2942932000151
26,down,lower,3,9,65,0.4165836999891326,33,1741437940,155.46809149999171
27,up,higher,3,62,24,1.7481567000504583,33,1741437943,157.98182900005486
28,down,lower,3,60,8,0.5005709000397474,33,1741437944,159.2321769000264
29,down,lower,4,9,23,0.5393788999645039,33,1741437945,160.51885670004413
30,up,lower,4,91,86,2.985170800006017,33,1741437949,164.26889110007323
31,up,higher,3,63,76,0.6391938999295235,33,1741437950,165.66982359997928
32,up,higher,3,25,93,0.6525721999350935,33,1741437952,167.08099819999188
33,down,lower,3,66,48,0.7445305000292137,33,1741437953,168.5905386999948
34,down,lower,4,69,79,0.7295800999272615,33,1741437955,170.06491130008362
35,down,lower,4,83,64,0.5337413999950513,33,1741437956,171.36113970004953
36,up,lower,4,26,58,4.062426200020127,33,1741437961,176.16348300001118
37,up,higher,3,91,32,0.6128309000050649,33,1741437962,177.53086200007237
38,up,higher,3,28,39,0.7289328000042588,33,1741437964,179.01755840005353
39,up,higher,3,20,34,1.8863184999208897,33,1741437966,181.65337010007352
40,up,higher,0,17,27,0.577595500042662,33,1741437969,184.65345490002073
41,up,higher,1,22,13,1.7386131000239402,33,1741437972,187.14548589999322
42,up,higher,2,99,35,0.5501955000218004,33,1741437973,188.46033919998445
43,down,lower,3,47,40,0.4428997999057174,33,1741437974,189.66570999997202
44,down,lower,4,89,70,0.35881650005467236,33,1741437976,190.77914100000635
45,up,lower,5,8,21,0.5983990000095218,33,1741437977,192.13422740006354
46,down,higher,4,24,62,1.145564700011164,33,1741437979,194.0326224999735
47,up,higher,3,59,78,0.6503311999840662,33,1741437980,195.43681029998697
48,down,higher,3,42,48,2.9098425999982283,33,1741437984,199.10577600006945
49,up,higher,2,36,38,0.7405409999191761,33,1741437985,200.6097700999817
50,down,higher,2,36,46,0.5831793999532238,33,1741437987,201.9555836999789
51,down,lower,1,69,71,0.5475204000249505,33,1741437988,203.26791489997413
52,down,higher,1,93,21,0.5901082000928,33,1741437989,204.6063960000174
53,down,lower,0,91,77,0.542160699958913,33,1741437991,205.90931250003632
54,down,lower,0,18,82,0.38576089998241514,33,1741437992,207.0525067000417
55,down,lower,0,73,6,1.157292899908498,33,1741437994,208.97268380003516
56,down,lower,1,68,84,2.8725787999574095,33,1741437997,212.60701350006275
57,down,higher,1,33,13,0.49305439996533096,33,1741437999,213.858084000065
58,down,lower,0,27,53,0.4593143999809399,33,1741438000,215.0717973000137
59,up,lower,0,73,56,1.0745395000558347,33,1741438002,216.90609930001665
60,up,higher,0,1,86,0.6988338999217376,33,1741438003,218.36547299998347
61,down,lower,0,0,6,0.4023284000577405,33,1741438004,219.53189650003333
62,up,lower,0,93,5,1.442548800026998,33,1741438006,221.73804239998572
63,down,higher,0,70,33,0.4408804998965934,33,1741438008,222.92786000005435
64,up,lower,0,96,49,2.0405938000185415,33,1741438010,225.71267580008134
65,up,lower,0,69,23,1.2983331000432372,33,1741438013,227.775828700047
66,down,higher,0,54,21,1.2741771000437438,33,1741438015,229.7991862000199
67,down,higher,0,88,98,0.458911299938336,33,1741438016,231.019230099977
68,down,lower,0,48,41,0.8420986999990419,33,1741438017,232.6086581000127
69,up,higher,0,77,31,1.1544894999824464,33,1741438019,234.5127754000714
70,down,lower,0,61,72,0.6212972999783233,33,1741438021,235.89817270007916
71,up,lower,1,19,25,0.6737511000828817,33,1741438022,237.32996150001418
72,down,higher,0,79,72,0.8126137000508606,33,1741438024,238.90469360002317
73,up,lower,0,15,50,3.2499157999409363,33,1741438028,242.904392400058
74,up,higher,0,68,91,1.6299767000600696,33,1741438030,245.28417790005915
75,down,lower,0,19,28,0.59384880005382,33,1741438031,246.63238209998235
76,down,lower,0,4,14,2.1095401000929996,33,1741438034,249.49625740002375
77,up,lower,10,84,13,2.4291243000188842,33,1741438045,259.88415960001294
78,up,higher,9,78,27,2.6619466999545693,33,1741438048,263.2867051999783
79,up,lower,10,41,76,2.74492339999415,33,1741438052,266.7957653000485
80,down,lower,9,1,20,0.6072379000252113,33,1741438053,268.14519680000376
81,up,higher,9,8,14,0.5318270999705419,33,1741438054,269.419381899992
82,down,higher,9,69,73,0.3746804000111297,33,1741438055,270.54797580000013
83,up,higher,8,23,78,0.43665730010252446,33,1741438056,271.7336746000219
84,up,higher,8,16,24,2.749864700017497,33,1741438060,275.24299980001524
