,responses,targets,jitter,n1,n2,rt,pid,abs_time,time
0,up,higher,0,60,78,0.8768562500008557,318,1739635354,142.77900245800083
1,up,higher,1,40,14,2.0746541250009614,318,1739635357,145.55900379100058
2,down,lower,2,25,59,0.7816947079991223,318,1739635358,147.04975758300134
3,down,lower,3,80,36,3.132463291998647,318,1739635362,150.89078812500156
4,up,higher,4,6,4,0.858392250000179,318,1739635364,152.4577027080013
5,down,lower,5,80,94,0.9156327499986219,318,1739635365,154.08166304100087
6,up,lower,6,75,17,0.601117415999397,318,1739635367,155.38769300000058
7,up,lower,5,95,42,0.7933755409994774,318,1739635368,156.8856510000005
8,down,lower,4,63,88,0.37822358299854386,318,1739635369,157.96859825000138
9,down,lower,4,14,38,1.182095083000604,318,1739635371,159.85458404100063
10,up,lower,4,34,17,1.0745795000002545,318,1739635373,161.63467087500067
11,up,higher,3,88,97,0.5659747919999063,318,1739635374,162.9056358329999
12,down,lower,3,26,95,0.7428046250006446,318,1739635376,164.35357866600134
13,up,higher,3,97,41,0.7064369170002465,318,1739635377,165.76464883300105
14,down,lower,4,17,64,1.2283961249995627,318,1739635379,167.69763579100072
15,down,lower,4,54,33,0.5290257919987198,318,1739635380,168.93161337499987
16,down,lower,4,4,3,0.7264599579993956,318,1739635382,170.3635624160015
17,up,higher,5,66,49,0.9522788750000473,318,1739635383,172.02059474999987
18,up,lower,5,85,79,3.294023667000147,318,1739635387,176.01958433300024
19,up,higher,4,77,16,0.8207302499995421,318,1739635389,177.5456632080004
20,up,higher,4,72,82,0.6713225839994266,318,1739635390,178.921688583001
21,up,higher,4,51,31,1.7369875420008611,318,1739635393,181.36368762500024
22,up,lower,5,7,1,1.0839712500001042,318,1739635395,183.15267095800118
23,down,higher,4,18,60,5.379736625000078,318,1739635401,189.23761883299994
24,up,higher,3,18,73,0.7036100000004808,318,1739635402,190.64661358300145
25,down,lower,3,35,37,0.49809587500021735,318,1739635403,191.84961908300102
26,up,higher,3,27,20,0.6303751659997943,318,1739635405,193.1846039580014
27,down,lower,0,88,14,1.0582136250013718,318,1739635413,201.4945780830003
28,down,lower,1,77,74,0.5949449579984503,318,1739635414,202.7947003750014
29,up,higher,2,79,16,0.43408829200052423,318,1739635415,203.93360733300142
30,down,lower,3,9,75,0.5592793750001874,318,1739635417,205.1966339999999
31,up,higher,4,22,82,0.9840515420000884,318,1739635418,206.8855706660015
32,down,lower,5,88,96,0.7101383749995875,318,1739635420,208.3005746660001
33,up,lower,6,10,75,0.6142157920003228,318,1739635421,209.6195864580004
34,down,higher,5,84,94,0.8380934999986493,318,1739635423,211.16264225000123
35,down,lower,4,21,18,0.44915787500031,318,1739635424,212.31673050000063
36,down,lower,4,59,55,1.9193064579994825,318,1739635426,214.9407185
37,down,lower,4,8,36,1.4256983750001382,318,1739635428,217.0716123330003
38,down,lower,5,76,19,3.6758437909993518,318,1739635433,221.45252220800103
39,up,higher,5,31,57,0.7229747080000379,318,1739635434,222.88056187500115
40,up,higher,5,18,39,1.5871323329993174,318,1739635437,225.17260637500112
41,down,lower,6,36,44,0.5939562500007014,318,1739635438,226.471560416001
42,up,lower,6,39,33,1.5700982499984093,318,1739635440,228.7465623750013
43,up,higher,5,28,78,0.9840837499996269,318,1739635442,230.4356729580013
44,down,higher,5,71,41,2.40115112499916,318,1739635445,233.54158325000026
45,up,higher,4,25,4,0.413816999998744,318,1739635446,234.6606318330014
46,up,higher,4,54,27,2.422442625000258,318,1739635449,237.7866057500014
47,down,lower,4,80,53,0.4778299169993261,318,1739635450,238.9696014580004
48,down,lower,5,51,45,1.7032446670000354,318,1739635453,241.3775322500005
49,up,higher,5,28,66,0.5459654580008646,318,1739635454,242.628548916
50,up,lower,5,95,85,1.4674609579997195,318,1739635456,244.8006785409998
51,down,lower,4,22,3,0.4665912500004197,318,1739635457,245.97258504100137
52,up,higher,4,18,97,1.0864442080001027,318,1739635459,247.7635903750015
53,down,lower,4,21,73,1.1391439580002043,318,1739635461,249.60754979100057
54,up,higher,10,12,77,1.3108735000005254,318,1739635467,255.45359620800082
55,up,higher,10,4,85,0.5947736669986625,318,1739635468,256.75368100000014
56,up,lower,10,34,7,2.3958307080010854,318,1739635471,259.8544952910015
57,down,lower,9,14,76,1.0055185420005728,318,1739635473,261.5685733750015
58,up,lower,9,23,28,1.3763759159992333,318,1739635475,263.64961100000073
59,down,lower,8,14,56,5.102633208000043,318,1739635481,269.4605833330006
60,up,lower,8,25,20,2.2827620839998417,318,1739635484,272.4485544580002
61,up,higher,7,44,80,2.5618651669992687,318,1739635487,275.7186732500013
62,up,higher,7,7,40,0.6889247500002966,318,1739635488,277.1125976250005
63,up,lower,7,71,74,1.2284976659993845,318,1739635490,279.0456651660006
64,up,higher,6,79,15,2.843102499999077,318,1739635494,282.59356387500156
65,down,lower,6,24,79,0.8579753340000025,318,1739635496,284.156662333
66,up,higher,6,48,17,1.467072957999335,318,1739635498,286.3285798329998
67,up,higher,7,24,10,0.8102196250001725,318,1739635499,287.8436027080006
68,up,lower,7,99,35,1.72332495900082,318,1739635502,290.2716067500005
69,down,higher,6,52,70,0.9541222079988074,318,1739635503,291.9305910410003
70,down,higher,5,81,39,0.5973808329999883,318,1739635505,293.2326144160015
71,up,higher,4,35,21,0.9281214170005114,318,1739635506,294.86461116600003
72,up,higher,4,10,69,0.8966254580009263,318,1739635508,296.46566562500084
73,down,lower,4,0,86,5.206838042000527,318,1739635514,302.37780191599995
74,up,lower,5,81,56,0.5489802080010122,318,1739635515,303.6326134160008
75,down,lower,4,75,18,2.021832082999026,318,1739635518,306.35966504099997
76,up,lower,4,17,64,1.796831875000862,318,1739635520,308.8616173750015
77,down,lower,3,19,12,2.5809480420011823,318,1739635523,312.1476491250014
78,down,lower,3,71,6,0.7218068330003007,318,1739635525,313.5747183330004
79,up,lower,3,19,96,2.019677457999933,318,1739635528,316.2997241660014
80,down,lower,2,20,85,1.5216221250011586,318,1739635530,318.52655050000067
81,up,higher,2,57,72,0.4171182080008293,318,1739635531,319.64856979100114
82,up,higher,2,65,91,0.4772444589998486,318,1739635532,320.8296807080005
83,up,lower,10,79,17,1.0147542089998751,318,1739635536,324.9357034580007
84,up,lower,9,71,97,0.37781912500031467,318,1739635537,326.0186897910007
85,up,higher,8,23,71,0.3962009160004527,318,1739635538,327.11966058300095
86,up,higher,9,54,78,0.5571737500013114,318,1739635540,328.3807065830006
87,up,higher,9,92,86,0.9465032500011148,318,1739635541,330.03158387500116
88,down,lower,9,68,36,0.5509827089990722,318,1739635543,331.2876458330011
89,down,lower,10,83,2,0.4835681669992482,318,1739635544,332.47564712500025
90,down,higher,10,71,83,0.5861997499996505,318,1739635545,333.76565308300087
91,down,higher,9,56,98,0.7411889579998387,318,1739635547,335.2116205830007
92,down,higher,8,59,2,0.5530932910005504,318,1739635548,336.46962775000065
93,down,higher,7,33,14,0.6231220000008761,318,1739635549,337.79760854100095
94,down,higher,6,47,95,0.6505493329987075,318,1739635551,339.15256087499984
95,down,lower,5,53,75,0.6677026670004125,318,1739635552,340.52463254100076
96,down,higher,5,19,61,0.7120775420007703,318,1739635553,341.9416409160003
97,up,higher,4,41,37,0.6729526249982882,318,1739635555,343.3196423750014
98,up,higher,4,41,0,1.6552381249985046,318,1739635557,345.6796109580009
99,down,lower,4,45,15,0.6600242090007669,318,1739635558,347.0446555409999
100,down,higher,5,64,46,0.6345261250007752,318,1739635560,348.38359183300054
101,up,higher,4,63,36,1.0230186250009865,318,1739635561,350.1115541250001
102,down,lower,4,42,56,2.425159791000624,318,1739635565,353.241551041001
103,up,higher,4,20,25,0.5559093749998283,318,1739635566,354.50261158300054
104,down,lower,5,71,50,0.7362366249999468,318,1739635567,355.94360541600145
105,down,higher,5,19,62,2.0703297500003828,318,1739635570,358.71856441599994
106,up,higher,10,81,87,2.2228472500009957,318,1739635579,367.3246479160007
107,down,higher,10,16,48,1.2166871669996908,318,1739635581,369.24664404100076
108,up,lower,9,65,77,1.0019964580005762,318,1739635582,370.95354991600107
109,up,lower,8,39,89,0.8651112089992239,318,1739635584,372.52355958299995
110,down,lower,7,58,31,0.5359626669996942,318,1739635585,373.76450962499985
111,up,higher,7,63,54,0.9623911250000674,318,1739635587,375.4316349159999
112,down,lower,7,41,53,0.46494254199933494,318,1739635588,376.6015827500014
113,up,higher,8,61,41,0.7173204169994278,318,1739635589,378.0225965000009
114,down,lower,8,44,23,0.4713099590007914,318,1739635591,379.19866279100097
115,up,lower,8,74,87,0.7097732919992268,318,1739635592,380.6135052080008
116,down,lower,7,21,69,0.36959070800003246,318,1739635593,381.68762366600095
117,up,higher,7,0,78,0.7151940000003378,318,1739635594,383.1065201250003
