,responses,targets,jitter,n1,n2,rt,pid,abs_time,time
0,down,lower,0,81,81,1.2106309589999,34,1741779154,118.88422108400005
1,up,higher,1,65,37,0.8618443750001461,34,1741779156,120.45112604199994
2,down,lower,2,91,78,11.750910750000003,34,1741779168,132.91024229200002
3,up,lower,3,56,83,3.030134040999883,34,1741779172,136.64919629199994
4,down,higher,2,19,69,0.8087452090001079,34,1741779174,138.16303370900005
5,down,lower,1,30,42,1.425729917000126,34,1741779176,140.29314216700004
6,up,lower,1,69,34,2.613084041999855,34,1741779179,143.61116262500013
7,down,lower,0,54,64,2.6238413330002004,34,1741779182,146.94017525000004
8,down,lower,0,3,5,2.1210485420001532,34,1741779185,149.7661814590001
9,up,lower,0,69,29,0.6600439999999708,34,1741779187,151.13113658399993
10,down,lower,0,73,76,0.3528790000000299,34,1741779188,152.18909250000002
11,up,lower,0,68,36,0.6758777080001437,34,1741779189,153.56871150000006
12,down,lower,0,48,38,0.31112912499997947,34,1741779190,154.5848316250001
13,up,higher,0,23,23,0.5065897090000817,34,1741779191,155.7951237919999
14,down,lower,0,81,50,3.48427658300011,34,1741779195,159.98307237500012
15,down,higher,1,34,45,0.6639507080001295,34,1741779197,161.35211470900003
16,up,higher,0,23,25,0.5662003750001077,34,1741779198,162.62312562500006
17,up,lower,0,49,50,1.7392759589999969,34,1741779201,165.0671137920001
18,down,higher,0,49,60,0.6396291670000664,34,1741779202,166.41207120900003
19,up,lower,0,58,27,0.6846010409999508,34,1741779203,167.801463
20,up,higher,0,94,82,0.7342385829999785,34,1741779205,169.2412152500001
21,down,lower,0,82,87,1.1726764160000585,34,1741779207,171.11904379199996
22,up,higher,0,46,99,0.47114908300000025,34,1741779208,172.29514745899996
23,down,lower,1,37,70,2.174187666999842,34,1741779211,175.17307920899998
24,up,lower,1,95,63,2.6746230000001106,34,1741779214,178.553031917
25,down,higher,0,63,93,1.340091750000056,34,1741779216,180.59808383400014
26,down,lower,0,94,95,0.9751861249999365,34,1741779218,182.27814362499998
27,down,lower,0,63,9,0.6221023749999404,34,1741779219,183.60507108399997
28,up,lower,0,65,65,4.784380709000061,34,1741779225,189.0941311670001
29,up,lower,0,42,2,2.267611208000062,34,1741779228,192.067104084
30,down,lower,0,0,7,1.4419920839998213,34,1741779230,194.21405779199995
31,up,lower,0,72,58,2.0120402499999273,34,1741779232,196.9310687090001
32,down,lower,0,92,28,0.34377837500005626,34,1741779233,197.98008849999997
33,up,higher,0,56,23,1.6084945000000062,34,1741779236,200.29310800000007
34,down,lower,0,27,91,0.7847303329999704,34,1741779237,201.783095625
35,up,lower,10,6,95,2.656482791999906,34,1741779242,206.6301034170001
36,down,higher,9,63,85,0.8505866250000054,34,1741779244,208.18911112499995
37,down,higher,8,12,34,1.4427442500000325,34,1741779246,210.34015362500008
38,down,higher,7,58,90,1.5103847079999468,34,1741779248,212.55912187500007
39,up,higher,6,52,69,0.8729144579999684,34,1741779250,214.13707508400012
40,down,higher,7,18,98,2.356434457999967,34,1741779253,217.19804662499996
41,up,lower,6,10,34,1.6571991250000337,34,1741779255,219.56005008400007
42,up,higher,5,35,20,1.7436485840000842,34,1741779257,222.01211983400003
43,down,lower,5,14,34,1.7356730419999167,34,1741779260,224.45307954200007
44,up,higher,5,63,99,1.892394209000031,34,1741779262,227.05019070899993
45,down,lower,6,36,15,1.883827958999973,34,1741779265,229.6390664590001
46,down,lower,6,54,49,1.5448835830000007,34,1741779267,231.88906533399995
47,up,higher,6,1,76,0.5698182080000151,34,1741779269,233.16405400000008
48,down,higher,7,27,22,1.3999612080001498,34,1741779271,235.26911195899993
49,up,higher,6,87,43,1.4812165829998776,34,1741779273,237.45508458400013
50,up,higher,6,38,30,1.1900194589998137,34,1741779275,239.35001912500002
51,down,higher,6,32,73,0.8482684999999037,34,1741779276,240.903061084
52,down,lower,5,86,82,0.6502168749998418,34,1741779278,242.25810416700006
53,up,higher,5,43,35,0.4420882090003033,34,1741779279,243.40509591700015
54,down,lower,5,12,72,0.7172507089999272,34,1741779280,244.82610362499986
55,up,lower,6,89,89,2.2131398750002518,34,1741779283,247.7440365
56,down,higher,0,24,26,1.6152503339999384,34,1741779287,251.84712783400005
57,up,higher,0,16,99,2.5041557919998922,34,1741779290,255.05619270900002
58,down,lower,1,72,5,0.5586440000001858,34,1741779292,256.32007633399985
59,up,higher,1,66,47,0.5442794579998917,34,1741779293,257.5691160419999
60,up,higher,1,68,46,2.0273245829998814,34,1741779296,260.3011345000002
61,down,lower,2,76,91,0.37396466700010933,34,1741779297,261.3798945840001
62,down,lower,2,84,99,0.6556037499999547,34,1741779298,262.73917904199993
63,down,lower,2,13,56,0.7671279169999252,34,1741779300,264.2110453339999
64,up,lower,3,93,2,1.6949389999999767,34,1741779302,266.6109765419999
65,down,lower,2,1,54,0.9639447499998823,34,1741779304,268.2800572919998
66,down,lower,2,52,94,0.8230988750001416,34,1741779305,269.80813250000006
67,down,lower,2,95,14,0.9160268750001705,34,1741779307,271.42901325000025
68,up,higher,3,42,4,0.7281312499999331,34,1741779308,272.86196674999997
69,up,higher,3,91,72,0.8652963750000708,34,1741779310,274.4321026670002
70,down,higher,3,57,88,0.43002337500001886,34,1741779311,275.56702866699993
