,responses,targets,jitter,n1,n2,rt,pid,abs_time,time
0,down,lower,10,72,32,1.1848580420046346,341,1743076195,78.91159362500184
1,up,lower,10,86,87,0.6977074160022312,341,1743076197,80.31548187500448
2,up,lower,9,29,95,1.1914249999972526,341,1743076198,82.21548737500416
3,down,higher,8,65,64,0.7568475829975796,341,1743076200,83.68136512499768
4,up,higher,7,44,23,0.7644326250010636,341,1743076201,85.15443962500285
5,up,higher,7,52,34,0.7015759589994559,341,1743076203,86.56176862500433
6,down,higher,7,50,84,0.7704891249959473,341,1743076204,88.03845725000429
7,up,lower,6,38,30,0.6966682080019382,341,1743076206,89.44051600000239
8,down,higher,5,98,30,0.6925628329991014,341,1743076207,90.84144937500241
9,up,higher,4,32,72,0.70854354200128,341,1743076208,92.2584552920016
10,up,higher,4,60,36,0.7218320829997538,341,1743076210,93.68645391699829
11,up,higher,4,98,54,0.6926231250035926,341,1743076211,95.08444683400012
12,up,higher,5,33,74,0.7596744160036906,341,1743076213,96.54976483400242
13,up,higher,5,7,38,0.8527427919980255,341,1743076214,98.10844912500033
14,down,lower,5,33,16,0.7481576659993152,341,1743076216,99.56245291700179
15,down,lower,6,76,3,0.7538601659980486,341,1743076217,101.02147262499784
16,up,higher,6,68,28,0.7247179160040105,341,1743076219,102.45142625000153
17,up,lower,6,67,73,0.7407874999989872,341,1743076220,103.89735933399788
18,up,higher,5,8,42,0.6169520410039695,341,1743076221,105.21944008400169
19,up,higher,5,1,37,0.94084550000116,341,1743076223,106.86580979199789
20,down,lower,5,68,56,1.0257148339951527,341,1743076225,108.59757537500263
21,up,lower,6,58,92,1.0504397500044433,341,1743076227,110.35345454200433
22,down,higher,5,44,8,0.8527935410020291,341,1743076228,111.91146487500373
23,up,lower,4,70,56,0.8117031250003492,341,1743076230,113.42844241700368
24,down,lower,3,63,96,0.777118750003865,341,1743076231,114.9146088339985
25,up,higher,3,40,94,0.811263624993444,341,1743076233,116.43074979200173
26,down,lower,3,97,75,0.6438742079990334,341,1743076234,117.78065058399807
27,down,lower,0,94,25,0.6882231250056066,341,1743076238,122.23548550000123
28,down,higher,1,71,15,1.3905205000046408,341,1743076241,124.3314505840026
29,down,lower,0,68,52,1.0944297919995734,341,1743076242,126.13179554200178
30,up,higher,0,84,14,0.7226908750017174,341,1743076244,127.5604795420004
31,up,higher,0,5,61,0.6564782919958816,341,1743076245,128.9224586249984
32,up,higher,1,55,1,0.7473565000036615,341,1743076247,130.37547025000094
33,up,lower,1,30,5,1.0361223750005593,341,1743076248,132.11643633399945
34,down,lower,0,60,25,0.7856493330036756,341,1743076250,133.60745112500445
35,up,lower,0,26,76,0.8961158340025577,341,1743076251,135.20847804200457
36,up,higher,0,84,2,0.9615257920013391,341,1743076253,136.8757399590031
37,up,higher,0,79,14,0.7150189159947331,341,1743076254,138.29651575000025
38,down,lower,0,26,39,0.7336765839936561,341,1743076256,139.73544737500197
39,up,lower,1,7,54,0.7253449160052696,341,1743076257,141.16641333400185
40,down,lower,0,96,91,0.6251885409947135,341,1743076259,142.49651404200267
41,up,lower,0,81,34,0.9455395830009365,341,1743076260,144.14750787500088
42,up,higher,0,79,66,0.7926109170002746,341,1743076262,145.6454988750047
43,down,lower,0,39,58,0.6698901669951738,341,1743076263,147.02074741700199
44,up,lower,0,94,90,0.7490306659965427,341,1743076265,148.47551745900273
45,up,higher,0,20,31,0.7061389590016915,341,1743076266,149.88647987500008
46,up,higher,0,54,0,0.807451000000583,341,1743076268,151.39947816700442
47,up,higher,0,14,23,0.7199177920047077,341,1743076269,152.82450395900378
48,up,lower,0,84,70,0.6726014579980983,341,1743076273,156.75275904199952
49,down,lower,0,64,72,0.5940412079944508,341,1743076274,158.0506072499993
50,up,lower,1,22,72,0.6810571670066565,341,1743076276,159.4364252919986
51,up,higher,0,62,86,0.7191577919948031,341,1743076277,160.86044595899875
52,down,lower,0,65,89,0.7930079169964301,341,1743076279,162.35850170900085
53,up,higher,0,9,46,0.688401999999769,341,1743076280,163.75248779200047
54,up,lower,1,5,29,0.7535581670017564,341,1743076281,165.21143962500355
55,up,higher,0,74,21,0.7464297909973538,341,1743076283,166.6627198339993
56,up,lower,0,97,70,0.7050362920053885,341,1743076284,168.07349766699917
57,up,lower,0,15,7,0.7917903330016998,341,1743076286,169.570407625004
58,down,higher,0,17,9,0.6261957919996348,341,1743076287,170.90143512500072
59,up,higher,0,6,45,1.292023292000522,341,1743076289,172.89836270899832
60,up,higher,0,85,94,1.1167593330028467,341,1743076291,174.7205174999981
61,down,higher,0,97,14,0.9217098330045701,341,1743076293,176.3478070420024
62,up,lower,0,15,27,0.9068982079988928,341,1743076294,177.96048587500263
63,up,higher,0,27,63,0.8096103330026381,341,1743076296,179.4755194590034
64,up,higher,0,89,89,0.9370692500015139,341,1743076297,181.11755262500083
65,down,higher,0,47,98,1.284322625004279,341,1743076299,183.10737441699894
66,up,higher,0,15,84,0.9759605420040316,341,1743076301,184.78838658399764
67,down,higher,0,45,21,1.1013207919968409,341,1743076303,186.59479179199843
68,down,lower,0,22,68,1.1385457920041517,341,1743076305,188.43959512500442
69,up,higher,0,71,31,0.9242050000029849,341,1743076306,190.069427041999
70,down,lower,0,95,90,0.9051337089986191,341,1743076308,191.6794300840047
71,up,higher,1,38,57,0.816573124997376,341,1743076309,193.20136583400017
72,up,higher,1,90,77,0.8407177089975448,341,1743076311,194.74748062500294
73,up,higher,1,86,7,0.8543181659988477,341,1743076312,196.30674745899887
74,down,lower,2,61,23,0.8632380830022157,341,1743076314,197.87647516700235
75,up,lower,2,79,54,1.6435173749996466,341,1743076316,200.22544837500027
76,down,higher,10,53,5,2.3910219589961343,341,1743076322,205.79634749999968
77,up,higher,9,35,2,1.105121708002116,341,1743076324,207.60670912500063
78,down,lower,10,71,43,1.5810152080011903,341,1743076326,209.89358829199773
79,down,lower,10,97,9,2.8373139169998467,341,1743076330,213.43654375000187
80,up,lower,10,0,55,1.0332220420023077,341,1743076331,215.1754412090013
81,down,higher,9,90,19,1.0468593749974389,341,1743076333,216.92774345900398
82,up,lower,8,68,15,0.905604667001171,341,1743076335,218.53943808400072
83,up,higher,7,76,17,1.1839447910024319,341,1743076337,220.42950933400425
84,up,lower,7,87,10,1.5267762090006727,341,1743076339,222.6614172499976
85,down,lower,6,36,25,0.8798207079962594,341,1743076340,224.2464269589982
86,up,higher,6,70,1,0.769006750000699,341,1743076342,225.7204226670001
87,down,lower,6,57,38,0.9629817080058274,341,1743076344,227.3886975839996
88,up,higher,7,95,50,0.9011674580033286,341,1743076345,228.9954516670041
89,up,lower,7,94,19,1.468363916996168,341,1743076347,231.16948387500452
90,up,lower,6,57,18,0.822388000000501,341,1743076349,232.69739125000342
91,up,higher,5,9,74,1.4096392919964273,341,1743076351,234.81244037500437
92,down,higher,5,45,49,1.001235749994521,341,1743076353,236.51899033399968
