,responses,targets,jitter,n1,n2
0,down,lower,0,9,6
1,up,higher,2,2,2
2,down,lower,4,2,4
3,up,higher,6,4,0
4,up,higher,8,2,9
5,up,lower,10,6,5
6,up,higher,8,7,1
7,down,lower,8,3,0
8,up,higher,8,1,4
9,down,lower,10,4,1
10,up,lower,10,0,0
11,down,lower,8,8,2
12,up,lower,8,1,5
13,up,higher,6,8,1
14,up,higher,6,9,8
15,down,lower,6,9,0
16,down,lower,8,1,9
17,down,lower,8,4,4
18,up,higher,8,4,8
19,up,lower,10,3,2
20,down,lower,8,1,6
21,down,lower,8,2,7
22,down,lower,8,8,9
23,up,lower,20,8,1
24,up,lower,18,1,4
25,up,higher,16,4,4
26,up,lower,18,6,1
27,up,lower,16,2,7
28,down,higher,14,1,9
29,up,higher,12,2,5
30,up,higher,12,4,5
31,down,lower,12,5,1
32,up,lower,14,2,1
33,up,lower,12,7,8
34,down,lower,10,7,5
35,up,higher,10,2,2
36,up,lower,10,3,3
37,down,lower,8,4,4
38,down,lower,8,2,1
39,down,higher,8,0,8
40,up,lower,6,6,3
41,up,lower,4,6,7
42,down,lower,2,8,6
43,up,lower,2,5,6
44,down,lower,0,7,3
45,up,higher,0,2,4
46,down,lower,0,1,9
47,up,higher,2,0,1
48,down,higher,2,1,9
49,down,lower,20,3,5
50,down,higher,20,2,1
51,down,lower,18,0,9
52,down,higher,18,6,3
53,up,lower,16,2,4
54,up,higher,14,6,2
55,down,higher,14,2,9
56,down,lower,12,6,0
57,up,higher,12,8,2
58,down,lower,12,5,2
59,up,lower,14,1,4
60,down,lower,12,0,5
61,down,higher,12,1,4
62,down,higher,10,8,3
63,up,higher,8,4,1
64,down,lower,8,1,9
65,down,higher,8,2,7
66,down,lower,6,9,6
67,up,higher,6,4,2
68,up,higher,6,2,1
69,down,higher,8,9,2
70,down,lower,6,3,9
71,up,higher,6,8,7
72,up,higher,6,2,9
73,down,lower,20,9,7
74,up,lower,20,4,0
75,up,lower,18,2,8
76,up,higher,16,0,3
77,up,higher,16,5,0
78,up,lower,16,8,1
79,up,higher,14,0,1
80,up,higher,14,2,4
81,up,higher,14,3,7
82,up,lower,16,6,7
83,up,higher,14,0,7
84,up,lower,14,1,5
85,up,higher,12,6,2
86,down,higher,12,3,8
87,up,lower,10,2,9
88,down,lower,8,7,5
89,up,higher,8,7,6
90,down,lower,8,0,9
91,up,higher,10,7,5
92,up,lower,10,1,8
93,up,higher,8,3,4
94,up,lower,8,2,1
95,down,lower,6,3,0
96,down,lower,6,4,1
97,up,higher,6,7,3
98,up,lower,20,9,7
99,up,lower,18,8,1
100,down,lower,16,5,0
101,up,lower,18,5,1
102,down,higher,16,2,4
103,up,higher,14,3,4
104,up,lower,14,2,0
105,up,higher,12,5,5
106,up,lower,12,5,2
107,up,higher,10,5,7
108,up,lower,10,1,9
109,up,higher,8,1,6
110,down,lower,8,9,8
111,up,higher,8,2,0
112,down,higher,10,1,5
113,up,lower,8,5,7
114,down,lower,6,8,9
115,up,higher,6,1,4
116,up,higher,6,8,2
117,up,lower,8,0,8
118,up,higher,0,8,5
119,up,higher,2,1,7
120,down,lower,4,2,6
121,up,higher,6,7,1
122,down,higher,8,4,2
123,up,higher,6,3,5
124,down,higher,6,3,2
125,down,lower,4,2,7
126,down,lower,4,3,8
127,down,lower,4,3,9
128,up,higher,6,4,3
129,down,lower,6,9,7
130,up,higher,6,5,5
131,down,lower,8,5,9
132,up,higher,8,1,8
133,up,higher,8,6,9
134,down,lower,10,4,2
135,up,higher,10,6,7
136,down,higher,10,9,1
137,up,higher,8,3,3
138,down,lower,8,4,7
139,up,higher,8,7,7
140,up,higher,10,1,0
141,up,higher,10,8,5
142,down,higher,10,1,1
143,down,lower,8,2,9
144,up,higher,8,0,3
145,up,higher,8,7,6
146,up,higher,20,4,1
147,up,higher,20,1,8
148,down,lower,20,2,6
149,down,lower,20,6,9
150,up,higher,20,7,5
151,up,higher,20,0,2
152,down,higher,20,3,1
153,up,lower,18,6,6
154,down,lower,16,4,3
155,down,lower,16,0,2
156,up,lower,16,6,2
157,up,higher,14,8,3
158,up,higher,14,6,2
159,up,higher,14,9,9
160,down,lower,16,5,0
161,up,higher,16,1,5
162,up,lower,16,2,5
163,up,higher,14,8,5
164,up,higher,14,9,3
165,up,higher,14,0,5
166,down,lower,16,9,7
167,up,lower,16,1,3
168,down,higher,14,5,5
169,up,higher,12,6,6
170,down,higher,12,7,8
171,down,higher,10,4,8
172,down,higher,8,2,8
173,down,lower,6,8,4
174,down,lower,6,3,7
175,down,lower,6,4,6
176,up,higher,0,9,3
177,up,higher,2,8,2
178,down,higher,4,4,3
179,down,higher,2,8,6
180,down,lower,0,4,7
181,up,higher,0,3,0
182,down,higher,0,4,0
183,down,higher,0,7,3
184,up,higher,0,0,9
185,down,higher,0,1,7
186,down,lower,0,5,7
187,down,lower,0,3,3
188,down,lower,0,2,1
189,up,higher,2,9,3
190,down,lower,2,5,1
191,down,higher,2,2,8
192,up,lower,0,0,7
193,down,lower,0,8,0
194,up,lower,0,3,3
195,down,lower,0,3,5
196,up,higher,0,6,4
197,down,lower,0,3,2
198,down,lower,2,4,1
199,down,lower,2,5,8
200,down,lower,2,5,0
201,down,lower,4,6,3
202,down,lower,4,8,6
203,down,lower,4,5,6
204,up,higher,6,3,4
205,up,higher,6,6,2
206,up,higher,6,0,8
207,down,higher,8,3,4
208,up,lower,6,9,5
209,down,lower,4,5,6
210,down,lower,4,7,0
211,up,higher,4,7,8
212,up,lower,20,6,8
213,up,lower,18,1,8
214,down,higher,16,6,3
215,up,higher,14,3,4
216,up,higher,16,4,3
217,down,higher,16,5,8
218,down,lower,14,1,6
219,down,lower,14,7,8
220,down,higher,14,8,7
221,up,higher,12,6,9
222,up,lower,12,4,5
223,down,higher,10,9,7
224,up,higher,8,2,3
225,up,lower,8,9,0
226,down,lower,6,1,3
227,down,lower,6,7,4
228,down,lower,6,5,3
229,up,lower,8,0,9
230,up,higher,6,9,2
231,up,higher,6,8,9
232,up,lower,6,6,8
233,down,lower,4,0,0
234,down,higher,4,5,6
235,up,higher,2,7,7
236,up,lower,2,9,4
237,up,higher,0,9,5
238,up,lower,0,9,9
239,down,higher,0,6,4
240,up,higher,0,1,0
241,down,higher,0,7,1
242,up,higher,0,5,7
243,down,lower,0,0,9
244,down,lower,0,8,4
245,up,lower,2,9,1
246,up,lower,20,3,8
247,down,lower,18,4,0
248,up,higher,20,5,4
249,up,lower,20,8,5
250,down,higher,18,9,4
251,up,higher,16,6,6
252,down,lower,16,6,2
253,up,higher,16,5,4
254,down,lower,18,2,7
255,down,lower,18,6,9
256,up,lower,18,1,4
257,down,higher,16,4,4
258,up,higher,14,9,7
259,up,lower,14,8,6
260,down,higher,12,1,9
261,down,higher,10,7,4
262,up,higher,8,2,1
263,down,lower,8,8,7
264,up,higher,8,1,8
265,down,higher,10,8,8
266,up,higher,0,8,5
267,down,higher,2,2,6
268,up,higher,0,7,6
269,down,lower,0,5,1
270,up,higher,0,9,9
271,down,higher,2,0,9
272,up,higher,0,3,5
273,up,higher,0,2,7
274,down,lower,0,6,4
275,up,higher,2,2,1
276,up,lower,2,0,6
277,down,higher,0,1,8
278,up,higher,0,9,5
279,up,higher,0,5,1
280,down,lower,0,3,8
