,responses,targets,jitter,n1,n2,rt,pid,abs_time,time
0,down,lower,0,39,24,0.5525465000000622,323,1740132463,84.754955
1,up,higher,1,93,38,0.712861791000023,323,1740132464,86.17475337499991
2,down,lower,2,51,7,0.3300847089999479,323,1740132465,87.214849458
3,up,higher,3,48,4,0.3942130000000361,323,1740132466,88.31889187499996
4,up,higher,4,97,42,0.47305883299998186,323,1740132468,89.50188954199996
5,down,lower,5,40,16,1.6507071670000641,323,1740132470,91.86075649999998
6,down,lower,6,69,44,0.5723776669999552,323,1740132471,93.13982624999994
7,up,higher,7,43,0,0.4170372920000318,323,1740132472,94.26584762499999
8,up,higher,8,70,80,0.3678122500000427,323,1740132473,95.3418073329999
9,up,lower,9,3,81,0.32427274999986366,323,1740132474,96.3748687499999
10,up,higher,8,69,30,7.24984629100004,323,1740132482,104.32969491699987
11,down,lower,8,45,42,0.7179468750000524,323,1740132484,105.7536742079999
12,down,lower,8,66,48,0.3743897500000912,323,1740132485,106.83377058299993
13,down,lower,9,67,15,0.7901810000000751,323,1740132486,108.3287278329999
14,down,higher,9,90,26,0.8144143330000588,323,1740132488,109.84976529200003
15,up,lower,8,10,73,0.4355553749999217,323,1740132489,110.99177125000006
16,up,higher,7,79,34,0.48685216700005185,323,1740132490,112.18477241699998
17,up,lower,7,69,46,0.598489083000004,323,1740132492,113.48878183299985
18,up,lower,6,80,88,0.6865200830000049,323,1740132493,114.88176266699998
19,up,higher,5,21,38,0.5335411660000773,323,1740132494,116.12075287499988
20,down,lower,5,89,21,0.6870467080000253,323,1740132496,117.51271158300005
21,down,lower,5,90,6,0.46125658300002215,323,1740132497,118.67980129199987
22,down,lower,6,34,69,0.5960769999999229,323,1740132498,119.98070266700006
23,down,higher,6,17,68,0.5564925830001357,323,1740132499,121.2426654169999
24,down,lower,5,45,18,0.6061984999998913,323,1740132501,122.55469291700001
25,up,higher,5,94,34,0.6522179589999269,323,1740132502,123.91264000000001
26,down,lower,5,84,54,0.4192120419997991,323,1740132503,125.03776383299987
27,down,lower,10,1,99,0.6662279590000253,323,1740132506,127.69376454200005
28,up,higher,10,87,35,0.5493274160000965,323,1740132507,128.9487690829999
29,up,higher,10,42,67,0.4953924999999799,323,1740132508,130.1497267079999
30,up,lower,10,59,27,0.3022952090000217,323,1740132509,131.1583619579999
31,up,lower,9,0,39,0.7026426659999743,323,1740132511,132.56571787500002
32,up,lower,8,36,17,0.46428199999991193,323,1740132512,133.7356669169999
33,up,higher,7,35,40,0.39179870800012395,323,1740132513,134.83365716699996
34,up,higher,7,51,54,0.42501420799999323,323,1740132514,135.96368379199998
