,responses,targets,jitter,n1,n2,rt,pid,abs_time,time
0,down,lower,0,91,2,7.414077249999991,301,1739188457,90.5356193340001
1,up,higher,1,77,47,5.155404084000111,301,1739188462,96.39545500000008
2,up,lower,2,72,51,4.558560500000112,301,1739188468,101.66183308400014
3,up,higher,1,18,60,5.607408416999988,301,1739188474,107.97374770900001
4,up,higher,1,20,77,3.9381053750000774,301,1739188479,112.61658250000028
5,down,lower,1,2,18,2.8513730829999986,301,1739188482,116.17249637500026
6,up,higher,2,65,92,3.8559709160003877,301,1739188487,120.73289424999984
7,up,lower,2,63,20,4.874852333000035,301,1739188492,126.3126185000001
8,down,lower,1,63,92,1.909441791000063,301,1739188495,128.92643758400027
9,down,lower,1,44,18,3.1377035000000433,301,1739188499,132.76852458400026
10,down,higher,1,13,33,2.4086214170001767,301,1739188502,135.88182745899985
11,up,lower,0,79,58,6.086960417000228,301,1739188509,142.67351479199988
12,down,lower,0,0,63,3.843364708000081,301,1739188513,147.22171345900006
13,down,lower,0,12,88,2.862495959000171,301,1739188517,150.78887841699998
14,down,lower,0,84,73,4.194168209000054,301,1739188522,155.68745345900015
15,down,lower,1,69,28,3.4262900829999126,301,1739188526,159.81848962499998
16,up,lower,1,73,60,3.816857499999969,301,1739188530,164.33977191700023
17,down,lower,0,49,2,2.842358666999644,301,1739188534,167.88672325000016
18,down,higher,0,5,31,4.878960292000102,301,1739188540,173.47046091699985
19,down,lower,0,56,30,4.614879416999884,301,1739188545,178.7898453749999
20,up,lower,0,10,57,5.525253124999836,301,1739188551,185.0194982920002
21,up,higher,0,49,29,6.501265875000172,301,1739188558,192.225407292
22,up,higher,0,96,54,4.635198375000073,301,1739188564,197.5654710839999
23,up,higher,0,69,70,3.7041722499998286,301,1739188568,201.9743410000001
24,up,higher,10,94,65,4.694798125000034,301,1739188577,210.89839116700023
25,up,lower,10,26,56,2.2417626669998754,301,1739188580,213.84477783400007
26,up,lower,9,72,37,1.1755907080000725,301,1739188582,215.7284396670002
27,up,higher,8,27,79,2.8765846659998715,301,1739188585,219.31236799999988
28,up,lower,8,38,62,3.6736110419997203,301,1739188590,223.6903918339999
29,up,higher,7,71,93,3.4877434999998513,301,1739188594,227.88584483400018
30,up,higher,7,38,83,2.7651559589999124,301,1739188597,231.35554254199997
31,up,lower,7,98,33,3.3397307499999442,301,1739188601,235.39978974999985
32,up,lower,6,71,77,4.099245165999946,301,1739188606,240.20370204200026
33,up,lower,5,38,72,7.291277667000031,301,1739188614,248.20249016700018
34,up,lower,4,17,49,4.087113166000108,301,1739188619,252.99769133400014
35,up,lower,3,49,21,2.628349791999881,301,1739188622,256.33392333400025
36,up,higher,2,44,94,6.327915999999732,301,1739188629,263.3664705420001
37,up,higher,2,24,98,4.518580624999686,301,1739188635,268.58986216699986
