,responses,targets,jitter,n1,n2,rt,pid,abs_time,time
0,down,higher,10,59,74,1.94637049999983,322,1739967940,85.16583524999987
1,down,higher,9,83,46,1.773231458000737,322,1739967942,87.64775320800072
2,down,lower,8,69,11,1.0311357079990557,322,1739967944,89.38774050000029
3,up,lower,9,2,54,0.5010874170002353,322,1739967945,90.5947871669996
4,up,lower,8,78,88,0.910905749999074,322,1739967947,92.2107768750011
5,up,higher,7,11,59,0.8300314169991907,322,1739967948,93.74981970800036
6,up,lower,7,88,1,0.823766458001046,322,1739967950,95.27973508300056
7,up,lower,6,20,92,1.7459158329984348,322,1739967952,97.73074179200012
8,down,lower,5,78,2,0.5342902920001507,322,1739967954,98.97370670800046
9,up,higher,5,23,88,1.6566457919998356,322,1739967956,101.33575966700118
10,up,lower,5,43,68,2.0824819589997787,322,1739967959,104.12371333299961
11,down,higher,4,1,72,1.421322333999342,322,1739967961,106.25385308300065
12,down,lower,3,86,74,2.5051947079991805,322,1739967964,109.46779920799963
13,down,lower,3,35,55,1.6948938329987868,322,1739967967,111.8686914580012
14,up,lower,3,39,58,2.2076067090001743,322,1739967969,114.7817217920001
15,up,higher,2,80,87,0.48322183299933386,322,1739967971,115.97383687500042
16,up,lower,2,63,20,1.2087372920013877,322,1739967973,117.88772579200122
17,down,lower,1,13,3,0.6217101250003907,322,1739967974,119.21478645800016
18,down,lower,1,84,93,0.8682074579992332,322,1739967975,120.78868141699968
19,down,lower,1,2,88,0.6325656670014723,322,1739967977,122.12671895800122
20,down,lower,2,75,27,0.9635855420001462,322,1739967978,123.79570104199956
21,down,lower,2,56,97,0.7956793749999633,322,1739967980,125.29677591700056
22,up,lower,2,51,99,0.5572041659997922,322,1739967981,126.55872387499949
23,up,lower,1,60,26,0.5412310410010832,322,1739967982,127.80477862500084
24,up,lower,0,76,34,0.5490685409986327,322,1739967984,129.05875108300097
25,down,lower,0,56,22,0.33268437500009895,322,1739967985,130.09672720799972
26,up,lower,0,66,35,0.715236999998524,322,1739967986,131.51572254200073
27,down,higher,0,48,83,0.5052141659998597,322,1739967987,132.72577895799986
28,up,lower,0,1,84,0.6899432499994873,322,1739967989,134.11970170800123
29,down,higher,0,98,98,1.3817565829995146,322,1739967991,136.20665287500015
30,up,higher,0,49,96,0.8818430000010267,322,1739967992,137.79365074999987
31,down,higher,0,96,10,0.5466487499998038,322,1739967994,139.0457337500011
32,up,lower,0,34,32,1.3655282919989986,322,1739967996,141.11666066700127
33,up,higher,0,12,48,0.660593541999333,322,1739967997,142.4826936669997
34,down,higher,0,99,38,0.8612373329997354,322,1739967999,144.0489696250006
35,up,higher,0,16,20,0.5473309999997582,322,1739968000,145.3017542079997
36,down,higher,0,56,48,0.4277466669991554,322,1739968001,146.43467237500045
37,down,higher,0,81,23,0.4136511659999087,322,1739968002,147.55237300000044
38,down,lower,0,42,93,1.0590947089986003,322,1739968004,149.31463675000123
39,down,lower,0,49,50,0.5733852080011275,322,1739968005,150.59371170800114
40,up,higher,0,49,96,0.4890986249993148,322,1739968006,151.78674675000002
41,up,higher,1,58,45,1.357267082999897,322,1739968008,153.84778733300118
42,down,higher,1,22,51,0.443483417000607,322,1739968010,154.99667600000066
43,down,higher,0,60,36,0.427987666998888,322,1739968013,158.3288273750004
44,down,higher,0,72,93,0.5348342500001309,322,1739968014,159.56775737499993
45,up,higher,0,18,92,0.9572063340001478,322,1739968016,161.2297218750009
46,down,lower,1,34,87,0.36499791700043716,322,1739968017,162.2995821250006
47,up,higher,1,95,63,0.4290106249991368,322,1739968018,163.43268979200002
48,down,higher,1,60,70,0.77796812500128,322,1739968020,164.91567487500106
49,up,higher,0,5,23,0.5356968329997471,322,1739968021,166.15674695800044
50,up,higher,0,56,6,0.7297300000009272,322,1739968022,167.59080908299984
51,down,higher,0,99,54,0.45594295900082216,322,1739968023,168.7516853750003
52,up,higher,0,77,68,0.9259325839993835,322,1739968025,170.3827022080004
53,down,higher,0,40,13,0.33358920799946645,322,1739968026,171.4217679579997
54,down,lower,0,14,36,0.422941582999556,322,1739968027,172.5487876669995
55,up,higher,0,34,99,0.45207837500129244,322,1739968028,173.7057679999998
56,up,higher,0,84,30,0.768006250000326,322,1739968030,175.178753917
57,down,lower,1,23,35,0.4310219170001801,322,1739968031,176.31472974999997
58,down,lower,1,66,86,0.37963624999974854,322,1739968032,177.39980266699968
59,up,lower,1,53,1,0.3849925419999636,322,1739968033,178.48868629200115
60,up,lower,0,21,69,0.4132140830006392,322,1739968034,179.60685537500103
61,up,lower,0,52,84,0.35650633399927756,322,1739968035,180.66674908300047
62,up,lower,0,22,63,0.6557394580013352,322,1739968037,182.0267125419996
63,down,higher,0,64,32,0.733142790999409,322,1739968038,183.4647605829996
64,up,higher,0,52,64,0.8780917919993954,322,1739968040,185.04775341700042
65,up,higher,0,19,96,1.7318572500007576,322,1739968042,187.48478025000077
66,down,higher,0,66,41,0.38985191600113467,322,1739968043,188.57983633299955
67,down,lower,0,80,12,0.7601179579996824,322,1739968045,190.04482820799967
68,down,lower,0,8,15,0.6886410419992899,322,1739968046,191.43869662500038
69,down,lower,0,84,68,0.5403063750000001,322,1739968047,192.68368800000098
70,up,higher,1,85,12,1.0399431250007183,322,1739968049,194.4287020419997
71,down,lower,1,98,87,0.4398417080010404,322,1739968050,195.57372204199964
72,down,lower,1,77,90,0.8047540839997964,322,1739968052,197.0827497499995
73,down,lower,2,35,50,0.5019202500006941,322,1739968053,198.2898063749999
74,down,lower,2,14,78,0.4275432499998715,322,1739968054,199.42174625000007
75,down,lower,2,68,25,0.5770147499988525,322,1739968055,200.7036828750006
76,up,higher,3,9,73,0.5398323749996052,322,1739968057,201.94867150000027
77,up,higher,3,40,61,0.8329679590005981,322,1739968058,203.486751542001
78,up,higher,3,79,77,0.7159433340002579,322,1739968060,204.90775362500062
79,down,lower,4,14,30,1.7649552500006394,322,1739968062,207.37765150000087
80,up,lower,4,94,91,0.5838819589989726,322,1739968063,208.6667158750006
81,down,lower,0,52,69,0.5910003329991014,322,1739968066,211.50676616700002
82,up,lower,1,3,74,0.48292674999902374,322,1739968067,212.69476470799964
83,up,higher,0,44,32,0.38518179200036684,322,1739968068,213.78487187500104
84,down,lower,0,20,13,0.6807726669994736,322,1739968070,215.16968570800054
85,up,lower,0,56,1,0.35618045900082507,322,1739968071,216.2307999170007
86,down,higher,0,37,70,1.6740975829998206,322,1739968073,218.6096663749995
87,up,higher,0,88,59,1.2158092079989729,322,1739968075,220.53074050000032
88,up,higher,0,45,0,0.4876692079997156,322,1739968076,221.723823833001
89,down,lower,0,49,44,0.3599022079997667,322,1739968077,222.7887292079995
90,down,lower,1,41,8,0.4693485000007058,322,1739968079,223.96174187500037
91,down,higher,1,27,55,0.5614350000014383,322,1739968080,225.2276936670005
92,down,higher,0,30,97,0.314109417000509,322,1739968081,226.24673558300128
93,up,lower,0,31,64,0.411191624998537,322,1739968082,227.36270412500016
94,up,higher,0,8,84,0.7041474170000583,322,1739968083,228.77072770800078
95,up,higher,0,74,29,0.8209120000010444,322,1739968085,230.29676766699959
96,down,higher,0,3,40,1.2896042499996838,322,1739968087,232.29167304200018
97,down,lower,0,37,83,1.1541634579989477,322,1739968089,234.15074283300055
98,down,higher,0,93,25,1.158071583000492,322,1739968091,236.0136364580012
99,up,higher,0,56,37,0.3661346250009956,322,1739968092,237.08482300000105
100,up,higher,0,41,96,0.3952728329986712,322,1739968093,238.1848212920013
101,down,lower,0,73,62,0.5770001250002679,322,1739968094,239.4658667500007
102,up,higher,1,63,53,0.548671791999368,322,1739968095,240.71961183300118
103,up,lower,1,66,26,0.47121012499883363,322,1739968097,241.89578208300009
104,up,lower,0,75,48,0.4070105410010001,322,1739968098,243.00768854200032
105,down,lower,0,2,65,0.47074629200142226,322,1739968099,244.18263458299953
106,up,higher,0,58,46,0.566101250000429,322,1739968100,245.45370283299962
107,up,higher,0,2,14,0.7482634589996451,322,1739968102,246.9067811670011
108,down,lower,10,5,61,0.44234645899996394,322,1739968104,249.59577987500052
109,down,lower,10,71,41,0.7713401249984599,322,1739968106,251.0707125830013
110,down,higher,10,42,77,0.4286434170007851,322,1739968107,252.20468258300025
111,down,higher,9,66,31,0.3819878750000498,322,1739968108,253.29177691699988
112,up,higher,8,82,30,0.6327372910000122,322,1739968109,254.6287398330005
113,up,higher,8,62,44,0.8359709169999405,322,1739968111,256.1696840420009
114,up,higher,8,83,38,0.45173283300027833,322,1739968112,257.32672916699994
115,up,higher,9,73,25,0.415844917000868,322,1739968113,258.44668170800105
116,up,higher,9,80,12,1.8406997920010326,322,1739968116,260.99266612500105
117,down,higher,9,15,6,0.34754270799930964,322,1739968117,262.0457076670009
118,down,lower,8,9,77,1.3119054590006272,322,1739968119,264.0616066670009
119,down,lower,8,90,27,0.3127681659989321,322,1739968120,265.0796572920008
120,down,lower,8,90,4,0.3012493749993155,322,1739968121,266.08480408300056
121,up,higher,9,78,61,0.471883499998512,322,1739968122,267.26075525000124
122,down,lower,9,11,43,0.4749599999995553,322,1739968123,268.4407090420009
123,up,lower,9,42,94,0.3880695830011973,322,1739968124,269.5327711250011
124,up,lower,8,75,23,0.4515387089995784,322,1739968125,270.689680083
125,up,higher,7,75,48,0.442541042000812,322,1739968126,271.8366194170012
126,up,lower,7,71,58,0.44261687499965774,322,1739968128,272.98473441700116
127,down,higher,6,26,48,0.33977437499925145,322,1739968129,274.029731042001
128,up,lower,5,55,89,0.6039782080006262,322,1739968130,275.3376839579996
129,up,lower,4,4,55,0.7419983340005274,322,1739968131,276.7846693749998
130,up,lower,3,36,34,0.45808354100154247,322,1739968133,277.9476494999999
131,up,higher,2,85,54,0.5559664579996024,322,1739968134,279.20772708299955
132,up,higher,2,39,37,0.3876395000006596,322,1739968135,280.3006880419998
133,up,higher,2,30,80,0.39181408300100884,322,1739968136,281.39769887500006
134,down,lower,10,53,40,0.6235849579989008,322,1739968139,284.38578266700097
135,down,lower,10,45,42,0.36290104199906636,322,1739968140,285.45380141700116
136,up,higher,10,30,71,0.5438000419999298,322,1739968141,286.7016869580002
137,up,lower,10,5,79,0.6599512499997218,322,1739968143,288.0666863330007
138,down,higher,9,3,16,0.9049721669998689,322,1739968144,289.67667404200074
139,down,higher,8,15,15,0.3600539580002078,322,1739968145,290.7417385000008
140,up,lower,7,27,37,0.5145680829991761,322,1739968147,291.96065975000056
141,down,lower,6,10,26,0.5390735839991976,322,1739968148,293.20476441699975
142,down,higher,6,55,0,0.5163787090004917,322,1739968149,294.42591512500076
143,up,higher,5,2,8,0.49766441700012365,322,1739968150,295.62873025000044
144,up,higher,5,95,24,0.4339467079989845,322,1739968151,296.7677417920004
145,up,higher,5,27,58,0.5077992499991524,322,1739968153,297.979613417001
146,down,lower,6,46,93,0.414838165999754,322,1739968154,299.0997403330002
147,down,lower,6,39,98,0.6749582909997116,322,1739968155,300.4786468750008
148,down,higher,6,37,60,0.3669468339994637,322,1739968156,301.55078612500074
149,down,lower,5,82,88,0.5360338340015005,322,1739968157,302.7907278750008
150,up,higher,5,30,97,0.575675666999814,322,1739968159,304.0717386670003
151,up,higher,5,29,6,0.5008797919999779,322,1739968160,305.277791292001
152,up,lower,6,79,61,0.5136116249996121,322,1739968161,306.49630266700115
153,up,lower,5,47,8,0.4463042499992298,322,1739968162,307.6467417920012
154,up,higher,4,38,55,0.515844500001549,322,1739968164,308.86666720799985
155,up,higher,4,20,49,1.2290183339991927,322,1739968165,310.80070350000096
156,up,higher,4,69,75,0.6049403750002966,322,1739968167,312.1107375829997
157,down,lower,0,39,52,0.5965126249993773,322,1739968169,314.73878541700105
158,down,lower,1,97,30,0.6036601249998057,322,1739968171,316.0477159580005
159,down,lower,2,77,87,0.5001533329996164,322,1739968172,317.25371000000086
160,down,lower,3,85,61,0.6568989159986813,322,1739968173,318.61577708299956
161,down,lower,4,73,48,0.6012327499993262,322,1739968175,319.9216900419997
162,down,lower,5,80,13,0.5388612500009913,322,1739968176,321.1658044169999
163,down,lower,6,89,34,0.46106816599967715,322,1739968177,322.3317310420007
164,down,higher,7,58,42,0.45184162499936065,322,1739968178,323.48879104200023
165,up,lower,6,69,53,0.4981200420006644,322,1739968179,324.69081200000073
166,down,lower,5,24,12,0.7259768750009243,322,1739968181,326.1216479169998
167,up,lower,5,18,28,0.5468704579998303,322,1739968182,327.3736606250004
168,up,higher,4,57,82,0.5292807079986233,322,1739968183,328.6077552080005
169,up,higher,4,12,33,0.5339200420003181,322,1739968184,329.84673770799964
170,down,higher,4,6,41,0.7690128329995787,322,1739968186,331.3207233330013
171,up,higher,3,14,54,0.41007304199956707,322,1739968187,332.4357763750013
172,up,higher,3,11,92,0.508852000000843,322,1739968188,333.6487154999995
173,down,lower,3,15,53,0.6482359999990877,322,1739968190,335.00170029200126
174,up,higher,4,42,84,0.5259213749995979,322,1739968191,336.2326969580008
175,up,higher,4,65,76,0.5417243329993653,322,1739968192,337.47963858299954
176,down,higher,4,83,79,1.1775241670002288,322,1739968194,339.3618499580007
177,up,lower,3,42,31,0.84849795899936,322,1739968196,340.9156931670004
178,up,lower,2,67,31,0.5469659999998839,322,1739968197,342.16779574999964
179,up,higher,1,72,1,0.6964439160001348,322,1739968198,343.5696877499995
180,down,higher,1,64,57,0.843160499998703,322,1739968200,345.11773408299996
181,up,lower,0,41,22,1.045871124999394,322,1739968202,346.86866075000034
182,up,lower,0,8,74,0.5611270829995192,322,1739968203,348.1347467079995
183,down,lower,0,98,39,0.842953834000582,322,1739968204,349.6826818749996
184,down,lower,0,93,51,0.3190855829998327,322,1739968205,350.70677954200073
185,down,lower,0,86,32,0.38399533399933716,322,1739968206,351.7945985000006
186,up,higher,1,58,24,0.600171957999919,322,1739968208,353.0986389999998
187,down,lower,1,14,56,0.49219649999940884,322,1739968209,354.29577470799995
188,down,lower,1,27,79,0.3504810419999558,322,1739968210,355.350770250001
189,up,lower,2,43,33,0.3379026660004456,322,1739968211,356.392766125
190,down,lower,1,52,30,0.3650757089999388,322,1739968212,357.46174037499986
191,down,lower,1,49,13,1.8191187499996886,322,1739968215,359.98578341699977
192,up,higher,1,31,36,0.48689220900087093,322,1739968216,361.17779425000117
193,up,higher,10,57,0,0.9875894159995369,322,1739968219,363.959738042
194,up,higher,10,85,4,1.0186149999990448,322,1739968220,365.6837592920001
195,up,lower,10,5,28,0.4619401670006482,322,1739968221,366.85074279200126
196,up,higher,9,83,17,0.36633904200061806,322,1739968223,367.92173829199965
197,up,higher,9,59,98,1.039422542000466,322,1739968224,369.6647633749999
198,down,lower,9,70,32,1.0507222500000353,322,1739968226,371.42076716700103
199,up,lower,10,26,48,0.5418195000002015,322,1739968227,372.6677390420009
200,up,higher,9,96,60,0.4466907089990855,322,1739968228,373.81975304200023
201,up,lower,9,53,84,0.4460678329996881,322,1739968230,374.9707672500008
202,up,lower,8,61,91,0.38856625000153144,322,1739968231,376.0637490829995
203,up,lower,7,54,47,0.43870266700105276,322,1739968232,377.2076880830009
204,up,lower,6,12,96,0.47694741700070153,322,1739968233,378.3886917079999
205,up,higher,5,65,82,0.3363627910002833,322,1739968234,379.4297001249997
206,up,higher,5,80,73,0.8046766669995122,322,1739968236,380.9381284580013
207,up,higher,5,69,13,0.5695385420003731,322,1739968237,382.2138515830011
208,up,lower,6,5,80,1.6219480419986212,322,1739968239,384.5408167080004
209,up,higher,5,13,54,0.8074555000002874,322,1739968241,386.0537037080012
210,down,lower,5,60,3,0.9599829159997171,322,1739968242,387.7189470829999
211,down,lower,5,80,82,1.2489456250004878,322,1739968244,389.6728628330002
212,up,lower,10,66,72,0.42515562500011583,322,1739968247,391.99067037500026
213,up,higher,9,59,21,0.3792546250006126,322,1739968248,393.07477695800117
214,down,higher,10,51,94,0.5444793749993551,322,1739968249,394.3237218329996
215,up,higher,9,82,30,1.1620332919992507,322,1739968251,396.190803458001
216,up,higher,9,46,56,0.931268333000844,322,1739968252,397.82773579199966
217,up,lower,9,23,85,0.431758250000712,322,1739968254,398.9647766670005
218,up,higher,8,47,7,0.3479874999993626,322,1739968255,400.0177511670008
219,up,higher,8,90,48,0.4332672079999611,322,1739968256,401.1548092920002
220,up,lower,8,89,84,0.38560591700115765,322,1739968257,402.2448346250003
221,up,lower,7,28,46,0.6510692080009903,322,1739968258,403.60072425
222,up,lower,6,55,72,0.35810620799929893,322,1739968259,404.6638017919995
223,up,lower,5,8,57,0.5741924159992777,322,1739968261,405.9416126670003
224,up,higher,4,44,77,0.46613808300025994,322,1739968262,407.11277320800036
225,down,higher,4,35,98,0.3920070410003973,322,1739968263,408.2097645419999
226,down,lower,3,62,1,0.5540702500002226,322,1739968264,409.4678872500008
227,up,higher,3,19,54,0.5197185420001915,322,1739968265,410.69264116700106
228,down,higher,3,58,5,0.31143654200059245,322,1739968266,411.7087123330002
229,down,higher,2,38,15,0.9210109169998759,322,1739968268,413.33380575000047
230,up,lower,1,55,73,0.3938338329990074,322,1739968269,414.4327310000008
231,up,higher,0,77,58,0.5850960839998152,322,1739968270,415.7217312080011
232,up,higher,0,11,4,0.7971149170007266,322,1739968272,417.22370050000063
233,up,higher,0,62,43,0.45388774999992165,322,1739968273,418.38273554199986
234,up,lower,1,24,14,1.284156374998929,322,1739968275,420.37169837500005
235,up,higher,0,50,75,0.6909832920009649,322,1739968276,421.76770975
