,responses,targets,jitter,n1,n2,rt,pid,abs_time,time
0,down,lower,0,95,64,0.9982472999254242,107,1737921867,130.0901291000191
1,up,higher,1,38,83,0.6474390999646857,107,1737921868,131.4622852000175
2,down,higher,2,95,6,1.371800999972038,107,1737921870,133.5576261000242
3,up,lower,1,60,80,0.6105463999556378,107,1737921871,134.88867260003462
4,down,higher,0,64,61,1.014869400067255,107,1737921873,136.62432309996802
5,down,higher,0,99,78,1.2441783000249416,107,1737921875,138.5913193000015
6,up,lower,0,54,51,0.7532433000160381,107,1737921877,140.0594954000553
7,up,higher,0,89,0,1.1603234999347478,107,1737921878,141.9338393000653
8,up,higher,0,40,41,0.8167680000187829,107,1737921880,143.47064319998026
9,down,lower,0,57,54,1.21447010000702,107,1737921882,145.40558630006853
10,up,higher,1,41,91,2.514537699986249,107,1737921885,148.64018840005156
11,up,higher,1,99,93,0.7655968000181019,107,1737921887,150.1272631000029
12,down,higher,1,51,26,0.6355053000152111,107,1737921888,151.48325930000283
13,up,higher,0,0,11,0.7358525999588892,107,1737921889,152.94190880004317
14,down,higher,0,62,68,0.9966432000510395,107,1737921891,154.65823719999753
15,down,lower,0,18,31,0.6209569000639021,107,1737921893,155.99288050003815
16,down,lower,0,62,76,1.1335979000432417,107,1737921894,157.8481966999825
17,up,lower,0,32,48,0.9401919000083581,107,1737921896,159.5084367999807
18,down,higher,0,31,78,1.0472744000144303,107,1737921898,161.2712501999922
19,up,higher,0,50,81,0.6161023000022396,107,1737921899,162.60342890000902
20,up,higher,0,78,28,1.1543329000705853,107,1737921901,164.47801379999146
21,up,higher,0,99,44,0.5458197999978438,107,1737921902,165.74634219997097
22,down,higher,1,31,79,0.8823393000056967,107,1737921904,167.34932310006116
23,down,lower,0,38,87,0.9143316000699997,107,1737921905,168.9774441999616
24,up,higher,0,29,78,0.7507674000225961,107,1737921907,170.4400604000548
25,down,higher,0,87,44,1.203537099994719,107,1737921909,172.36369100003503
26,down,higher,0,80,1,1.9617512000259012,107,1737921912,175.03952180000488
