,responses,targets,jitter,n1,n2,rt,pid,abs_time,time
0,up,higher,0,76,67,3.211139200022444,10,1737625287,144.29303030006122
1,down,lower,1,32,79,1.449155499925837,10,1737625289,146.4842449000571
2,down,higher,2,37,94,1.174174299929291,10,1737625291,148.42124110006262
3,down,lower,1,79,93,1.883769099949859,10,1737625294,151.06499940005597
4,up,higher,1,78,78,1.2257237999001518,10,1737625296,153.0555359000573
5,down,lower,1,90,38,1.0028976000612602,10,1737625298,154.8133287000237
6,down,higher,2,32,81,2.09025470004417,10,1737625301,157.66716990002897
7,up,lower,1,44,39,2.8434513999382034,10,1737625304,161.27087290002964
8,up,higher,0,14,47,0.6315430999966338,10,1737625306,162.6562557000434
9,down,higher,0,86,5,0.7790898000821471,10,1737625307,164.1858993000351
10,up,higher,0,45,97,2.595877300016582,10,1737625310,167.5349481999874
11,down,lower,0,1,18,1.5529242999618873,10,1737625313,169.84658550005406
12,down,lower,0,91,3,0.8944654999068007,10,1737625314,171.50702400004957
13,down,lower,1,82,76,0.5542811000486836,10,1737625316,172.8258579999674
14,up,lower,1,77,86,1.8046515000751242,10,1737625318,175.39561140001751
15,up,higher,0,78,14,1.4460424000862986,10,1737625321,177.60136349999812
16,up,higher,0,55,78,0.8482584999874234,10,1737625322,179.20301489997655
17,up,higher,0,78,50,1.130924699944444,10,1737625324,181.08301459997892
18,up,lower,10,58,28,2.0434753000736237,10,1737625330,186.57728660001885
19,up,lower,9,86,86,0.9185119000030681,10,1737625331,188.2525078000035
20,up,lower,8,62,37,0.45482059998903424,10,1737625332,189.47075840004254
21,up,lower,7,29,58,0.9874190000118688,10,1737625334,191.21399920003023
22,up,higher,6,71,67,0.8396068000001833,10,1737625336,192.806531200069
23,up,lower,7,44,64,0.8351303999079391,10,1737625337,194.40267640003003
24,up,lower,6,13,83,1.1183689000317827,10,1737625339,196.28271399997175
25,up,lower,5,44,1,0.9168784000212327,10,1737625341,197.95619489997625
26,down,lower,4,53,94,0.7708117000292987,10,1737625342,199.48373950005043
27,down,lower,4,99,79,0.9001061999006197,10,1737625344,201.15111960005015
28,down,lower,4,7,76,0.8293833000352606,10,1737625346,202.74128099996597
29,up,higher,5,6,92,0.7217704999493435,10,1737625347,204.21555099997204
30,down,lower,5,71,72,0.806500400067307,10,1737625349,205.78822250000667
31,down,lower,5,42,95,0.9518262000055984,10,1737625350,207.48819549998734
32,down,lower,6,35,89,1.048794100061059,10,1737625352,209.29143900005147
33,up,lower,6,8,69,0.8562083999859169,10,1737625354,210.88893300003838
34,up,lower,5,15,11,1.7615764000220224,10,1737625356,213.40450220007915
35,down,lower,4,93,18,0.9831190999830142,10,1737625358,215.1397854000097
36,down,lower,4,46,66,0.6469174000667408,10,1737625359,216.53842590004206
37,up,higher,4,82,91,0.5838616999099031,10,1737625361,217.87759100005496
38,up,lower,5,25,80,0.5258529999991879,10,1737625362,219.16889279999305
