,responses,targets,jitter,n1,n2,rt,pid,abs_time,time
0,up,higher,0,89,94,0.5239311999175698,335,1741944246,244.8865267999936
1,up,lower,1,26,7,2.5570075002033263,335,1741944249,248.198108300101
2,down,lower,0,49,82,0.8724487000145018,335,1741944251,249.836219600169
3,down,lower,0,77,94,0.7077174000442028,335,1741944252,251.2937473000493
4,up,higher,0,69,6,0.8559954999946058,335,1741944254,252.9007423000876
5,up,lower,1,37,15,1.85970010003075,335,1741944256,255.51285740011372
6,up,higher,0,66,62,1.2496334000024945,335,1741944258,257.52936740010045
7,up,higher,0,89,10,1.4910009999293834,335,1741944261,259.7787349000573
8,down,lower,0,40,90,2.0250128998886794,335,1741944263,262.56033040001057
9,down,lower,1,9,41,1.9549689998384565,335,1741944266,265.27225959999487
10,up,higher,1,67,60,0.7487935000099242,335,1741944268,266.7726823000703
11,up,lower,1,91,59,1.7312884000129998,335,1741944270,269.2390972999856
12,down,lower,0,17,44,0.624095399864018,335,1741944271,270.60502750007436
13,up,lower,0,18,28,1.8124551000073552,335,1741944274,273.1581188000273
14,up,higher,0,43,15,0.812954599969089,335,1741944275,274.719992000144
15,down,lower,0,68,83,0.7722322999034077,335,1741944277,276.2356653001625
16,down,lower,0,26,19,2.7963648999575526,335,1741944281,279.7733905001078
17,up,higher,0,40,16,0.64802740002051,335,1741944284,283.3308018001262
18,down,lower,1,82,33,0.6857128001283854,335,1741944286,284.76187260006554
19,down,lower,2,26,23,0.6022735999431461,335,1741944287,286.11183589999564
20,up,higher,3,6,53,0.7672272999770939,335,1741944288,287.65248130005784
21,up,higher,4,28,51,0.6582421001512557,335,1741944290,289.0673075001687
22,up,higher,5,33,63,2.393271999899298,335,1741944293,292.2281431001611
23,up,lower,6,1,74,0.8158975001424551,335,1741944295,293.79621130018495
24,down,lower,5,0,9,0.6691281001549214,335,1741944296,295.2109219999984
25,down,lower,5,63,89,0.6388397000264376,335,1741944297,296.60321229998954
26,down,lower,5,11,40,0.8246515998616815,335,1741944299,298.1897652000189
27,up,lower,6,14,32,0.705636799801141,335,1741944300,299.640368900029
28,down,lower,5,44,0,0.48137819999828935,335,1741944302,300.8759169001132
29,up,higher,5,17,17,0.8347366999369115,335,1741944303,302.45513030001894
30,up,higher,5,46,30,0.7113027998711914,335,1741944305,303.91380500001833
31,up,higher,6,3,10,0.7140076998621225,335,1741944306,305.3880012000445
32,down,lower,6,23,26,0.6401285999454558,335,1741944308,306.77853920008056
33,down,higher,6,62,58,1.0075105999130756,335,1741944309,308.54537499998696
34,down,higher,5,84,45,1.7855919001158327,335,1741944312,311.09625390009023
35,down,lower,4,83,63,0.8350579000543803,335,1741944313,312.687785099959
36,down,higher,4,84,94,1.7324558000545949,335,1741944316,315.16850400017574
37,up,higher,3,3,75,0.8509025999810547,335,1741944318,316.7705043000169
38,down,lower,3,0,43,0.7834126001689583,335,1741944319,318.3037531999871
39,down,lower,3,41,96,0.9754285998642445,335,1741944321,320.01574880001135
40,up,higher,0,28,72,0.5791265000589192,335,1741944325,324.14553920016624
41,down,lower,1,46,96,0.7111062998883426,335,1741944326,325.61961419996805
42,up,higher,2,32,42,0.5200496001634747,335,1741944328,326.89008680009283
43,down,lower,3,79,88,0.6010624999180436,335,1741944329,328.2554695000872
44,down,lower,4,30,6,0.5550818000920117,335,1741944330,329.5770601001568
45,down,lower,5,7,24,0.4357128001283854,335,1741944332,330.7722789000254
46,down,higher,6,47,87,0.9999933000653982,335,1741944333,332.5363014000468
47,down,lower,5,7,74,0.9274175998289138,335,1741944335,334.2114355000667
48,up,higher,5,64,35,0.7939369999803603,335,1741944337,335.7630492001772
49,down,lower,5,23,81,0.8108506000135094,335,1741944338,337.33071650005877
