,responses,targets,jitter,n1,n2,rt,pid,abs_time,time
0,down,lower,10,28,52,2.6106410999782383,315,1742548375,108.44239189999644
1,down,lower,10,70,8,0.8133360999636352,315,1742548376,110.01452960004099
2,down,higher,10,84,37,0.7565908998949453,315,1742548378,111.52403940004297
3,down,lower,9,4,43,1.1529188000131398,315,1742548380,113.43364609999117
4,down,higher,9,38,66,1.1973265999695286,315,1742548382,115.37992750003468
5,down,higher,8,76,15,1.5431632999097928,315,1742548384,117.6940326000331
6,up,higher,7,90,53,0.9305449000094086,315,1742548386,119.37892369995825
7,up,higher,7,23,48,1.1055574000347406,315,1742548388,121.2328343000263
8,up,higher,7,68,55,1.6047237999737263,315,1742548390,123.60860140004661
9,up,lower,8,65,37,1.2320097999181598,315,1742548392,125.59611050004605
10,up,lower,7,14,43,0.9986486000707373,315,1742548394,127.33547990000807
11,down,higher,6,25,88,1.18575010006316,315,1742548396,129.27318899997044
12,down,lower,5,85,8,1.0566588999936357,315,1742548398,131.1014240999939
13,up,higher,5,40,96,0.8838971999939531,315,1742548399,132.73549550003372
14,up,higher,5,78,31,1.4442705999827012,315,1742548401,134.92908769997302
15,up,higher,6,57,54,1.153137700050138,315,1742548403,136.83992880000733
16,up,lower,6,15,25,1.010578399989754,315,1742548405,138.59782190003898
17,up,higher,5,23,8,0.8542269000317901,315,1742548407,140.2066516999621
18,up,higher,5,88,66,0.8504035000223666,315,1742548408,141.80138159997296
19,up,higher,5,96,17,0.9996360000222921,315,1742548410,143.53488269995432
20,up,higher,0,85,40,0.9428368000080809,315,1742548413,146.4425493000308
21,down,lower,1,32,27,1.1830962999956682,315,1742548415,148.37958389997948
22,down,lower,2,6,95,0.8181444000219926,315,1742548416,149.94832139997743
23,down,lower,3,69,27,0.9249050000216812,315,1742548418,151.62309639994055
24,up,higher,4,89,22,0.6219942999305204,315,1742548419,153.00449810002465
25,up,higher,5,25,89,0.9273429000750184,315,1742548421,154.67468339996412
26,up,higher,6,28,31,1.3482269999803975,315,1742548423,156.77615339995828
27,up,lower,7,81,1,0.8132655000081286,315,1742548425,158.34122890001163
28,up,higher,6,15,20,0.8259217999875546,315,1742548426,159.92117959994357
29,down,lower,6,13,9,0.9416154000209644,315,1742548428,161.62034819996916
30,up,lower,6,25,94,0.7097590999910608,315,1742548430,163.08662099996582
31,up,lower,5,88,38,0.7548608999932185,315,1742548431,164.59656949993223
32,up,higher,4,15,7,0.5292945000110194,315,1742548432,165.8696032000007
33,up,higher,4,72,5,0.6148909999756142,315,1742548434,167.24526630004402
34,down,lower,4,65,78,0.6533109999727458,315,1742548435,168.6518086999422
35,up,lower,5,78,49,0.8145953000057489,315,1742548437,170.24080989998765
36,down,lower,4,55,53,1.2007394999964163,315,1742548439,172.19752579997294
37,down,lower,4,40,86,0.8189677000045776,315,1742548440,173.7699205999961
38,down,higher,4,62,27,0.893728099996224,315,1742548442,175.42291319998913
39,down,lower,3,18,20,0.6796880000038072,315,1742548443,176.86055830004625
40,down,lower,3,76,33,0.45648870000150055,315,1742548444,178.06081840000115
41,up,higher,3,82,34,0.5841038998914883,315,1742548446,179.39734020002652
42,down,lower,4,55,57,0.8150475999573246,315,1742548447,180.97730060003232
43,down,lower,4,20,2,0.9398948999587446,315,1742548449,182.6674025999382
44,up,higher,4,7,27,0.8383971999865025,315,1742548451,184.26551379996818
45,down,lower,5,13,46,0.8152575999265537,315,1742548452,185.84439620003104
46,down,lower,5,47,9,0.8773546000011265,315,1742548454,187.46883339993656
47,up,higher,5,19,53,0.6551413999404758,315,1742548455,188.88096480001695
48,down,lower,6,62,36,0.7462654000846669,315,1742548457,190.38865159999114
49,up,higher,6,63,67,0.6444001999916509,315,1742548458,191.7830788999563
50,up,higher,6,28,59,0.6869361000135541,315,1742548460,193.22725440002978
51,up,higher,7,17,81,0.5313524999655783,315,1742548461,194.5234356999863
52,up,lower,7,53,59,0.7895457999547943,315,1742548462,196.0624233999988
53,up,higher,6,24,22,0.6789338000817224,315,1742548464,197.512444699998
