,responses,targets,jitter,n1,n2,rt,pid,abs_time,time
0,down,lower,0,15,48,0.7488249579998865,328,1740996530,91.43809054200005
1,up,higher,1,44,78,0.46109308299992335,328,1740996531,92.60385925000014
2,up,higher,2,34,26,0.5282609579999189,328,1740996532,93.839880042
3,up,higher,3,55,45,0.6915484589999323,328,1740996534,95.23888787500005
4,down,higher,4,13,86,0.7111042499998348,328,1740996535,96.65790495800002
5,down,lower,3,3,39,0.5116784589999952,328,1740996536,97.87387404200012
6,up,lower,3,81,1,0.9543501670000296,328,1740996538,99.53286066700002
7,up,higher,2,31,18,1.039157208000006,328,1740996540,101.27684779200013
8,down,higher,2,5,1,0.6293380420001995,328,1740996541,102.61080875000016
9,up,higher,1,22,13,1.13466629200002,328,1740996543,104.44984104200012
10,down,lower,1,30,8,0.7004038329998821,328,1740996544,105.85485437500006
11,up,lower,1,10,85,1.3326874169999883,328,1740996546,107.89190266700007
12,up,higher,0,86,20,0.803127375000031,328,1740996548,109.39980483300019
13,down,higher,0,87,65,1.3085426249999728,328,1740996550,111.41282720800018
14,down,lower,0,45,95,0.6434144170000309,328,1740996551,112.76082520800014
15,up,higher,0,66,28,1.146602625000014,328,1740996553,114.61177345800002
16,up,higher,0,83,65,0.7013526670000374,328,1740996554,116.01779091700018
17,down,higher,1,85,60,0.5938275829998929,328,1740996556,117.315869583
18,down,lower,0,59,53,1.2144460409999738,328,1740996558,119.23491783300005
19,up,higher,0,20,72,0.6218310000001566,328,1740996559,120.560773917
20,up,lower,0,70,21,1.82456404200002,328,1740996561,123.08977191700001
21,down,lower,0,62,83,0.48934795800005304,328,1740996563,124.28372600000012
22,down,lower,0,63,58,1.5426190830000905,328,1740996565,126.53070116700019
23,down,lower,0,38,65,0.7618768329998602,328,1740996566,127.9972213330002
24,down,lower,1,67,81,0.5744748340000569,328,1740996568,129.27674041700016
25,down,lower,1,36,69,0.5748445829999582,328,1740996569,130.5559151670002
26,up,higher,1,5,78,0.5382172920001267,328,1740996570,131.798842917
27,down,lower,2,55,72,1.0546888750000107,328,1740996572,133.55777958300018
28,up,higher,2,98,30,0.769300750000184,328,1740996573,135.0317406250001
29,up,higher,2,48,27,0.5843960419999803,328,1740996575,136.32071995800015
30,up,higher,3,4,20,0.49464879100014514,328,1740996576,137.51972216700005
31,up,higher,3,79,78,0.4574091669999234,328,1740996577,138.68174916700013
32,down,lower,3,35,37,0.5574558330001764,328,1740996578,139.9428710420002
33,down,lower,4,36,37,0.7467366670000501,328,1740996580,141.39379804200007
34,down,higher,4,19,42,0.5764490000001388,328,1740996581,142.67474433300004
35,down,higher,3,44,21,0.8186976250001408,328,1740996583,144.19775079200008
36,down,lower,2,72,71,1.1305349169999772,328,1740996584,146.03263229200002
37,up,higher,2,18,75,0.4196214590001546,328,1740996586,147.15679579200014
38,up,higher,2,93,67,1.918921249999812,328,1740996588,149.779729417
39,up,higher,0,56,78,2.3298731659999703,328,1740996595,156.92881575
40,down,lower,1,91,37,0.33630825000000186,328,1740996596,157.9699395
41,up,higher,2,30,28,0.38583716699986326,328,1740996597,159.05980308300013
42,down,lower,3,95,28,2.3180900419999944,328,1740996600,162.0817672080002
43,down,higher,4,48,41,0.6631795419998525,328,1740996602,163.44973158300013
44,up,higher,3,78,71,0.4577208329999394,328,1740996603,164.61172520800005
45,down,lower,3,81,40,1.3437307909998708,328,1740996605,166.6597666250002
46,down,lower,3,91,80,0.4912620000000061,328,1740996606,167.85580495800014
47,down,higher,4,66,65,2.4340910000000804,328,1740996609,170.99477908300014
48,up,lower,3,52,33,1.6953737500000443,328,1740996612,173.394721333
49,down,lower,2,43,62,0.3834925840001233,328,1740996613,174.48272316700013
50,up,higher,2,98,34,0.32856812499994703,328,1740996614,175.51563408300012
51,down,higher,2,62,47,0.5461705000000165,328,1740996615,176.7656568750001
52,down,lower,1,52,14,0.3867374999999811,328,1740996616,177.85667525000008
53,down,lower,1,82,3,0.5300443749999886,328,1740996617,179.0906839170002
54,up,higher,1,11,9,1.335702708000099,328,1740996619,181.13066012500008
55,down,lower,2,11,83,0.6945007909998822,328,1740996621,182.529673667
56,down,lower,2,95,31,2.152547249999998,328,1740996624,185.38665800000012
57,down,higher,2,29,65,2.2534976250001364,328,1740996627,188.3447456250001
58,up,higher,1,8,87,1.2071265829999902,328,1740996629,190.25670433300002
59,up,higher,1,66,27,0.47547854200001893,328,1740996630,191.43668037500015
60,down,lower,1,62,59,0.8948445830001219,328,1740996631,193.035651208
61,down,higher,10,27,65,1.6935601249999763,328,1740996636,197.19772712500003
62,up,higher,9,26,13,0.6066265829999793,328,1740996637,198.51266012500014
63,up,higher,10,75,14,1.0274739579999732,328,1740996639,200.24470987500013
64,up,higher,10,16,41,2.12733579199994,328,1740996641,203.07668250000006
65,down,lower,10,27,61,0.6356063330001689,328,1740996643,204.41677429200013
66,down,lower,10,45,22,0.7326137920001656,328,1740996644,205.85368566700004
67,down,higher,10,90,8,0.9167759580000165,328,1740996646,207.474724917
68,down,lower,9,6,63,2.3533982500000548,328,1740996649,210.5326624170002
69,down,higher,9,52,26,2.0980913329999566,328,1740996652,213.3356496670001
70,up,lower,8,44,40,0.5895484579998538,328,1740996653,214.63370629200017
71,up,lower,7,72,46,1.1022201249998034,328,1740996655,216.4436894580001
72,up,lower,6,57,95,1.4442534170000272,328,1740996657,218.59263850000002
73,up,higher,5,60,91,1.7313719579999542,328,1740996659,221.0316855000001
74,down,higher,5,94,32,0.9811590000001615,328,1740996661,222.7176725830002
75,up,higher,4,54,14,0.8924130000000332,328,1740996663,224.31458379200012
76,up,higher,4,62,70,0.785382416999937,328,1740996664,225.80468200000018
77,down,higher,4,72,25,1.385596957999951,328,1740996666,227.89463520800018
78,down,lower,3,45,41,1.1504561249998915,328,1740996668,229.74968845800004
79,down,higher,3,79,93,1.2993232919998263,328,1740996670,231.75360037500013
80,down,higher,2,61,40,1.7481953340000018,328,1740996673,234.2066728750001
81,up,lower,1,91,24,1.5393731669998942,328,1740996675,236.4506297920002
82,up,higher,0,0,35,0.6885092499999246,328,1740996676,237.84365908300015
83,down,lower,0,68,82,0.7087502920001043,328,1740996678,239.256649917
84,up,higher,0,17,50,0.6025500830000965,328,1740996679,240.5636350000002
85,down,higher,1,56,66,0.7007384589999219,328,1740996680,241.96864304200017
86,down,lower,0,87,99,1.1736019170000418,328,1740996682,243.8469809170001
87,down,higher,0,89,94,0.8961145420000776,328,1740996684,245.44770037500007
88,down,lower,0,17,91,0.6875767499998346,328,1740996685,246.8396448330002
89,down,lower,0,21,89,0.7407736659999955,328,1740996687,248.28475195800002
90,up,higher,0,65,50,1.3982532499999252,328,1740996689,250.387641583
91,up,higher,1,29,90,0.4575245830001222,328,1740996690,251.54965170800006
92,up,higher,1,47,34,1.413706374999947,328,1740996692,253.6677975
93,down,lower,1,3,26,0.6784457500000372,328,1740996693,255.0507368750002
94,up,higher,2,99,20,0.4384997500001191,328,1740996695,256.1937021670001
95,down,lower,2,12,90,0.4821348749999288,328,1740996696,257.3795748330001
96,up,higher,2,81,30,0.42486058300005425,328,1740996697,258.50866095800006
97,down,lower,3,22,95,0.5136229580000418,328,1740996698,259.72665962500014
98,up,higher,3,26,46,1.0532257909999316,328,1740996700,261.4836407920002
99,down,lower,3,45,47,0.8372382499999276,328,1740996701,263.0256737500001
100,down,lower,4,90,71,0.4984478339999896,328,1740996703,264.2286697080001
101,down,lower,4,51,67,0.5581542919999265,328,1740996704,265.49061629200014
102,up,higher,4,97,57,0.4537361249999776,328,1740996705,266.648635
103,down,lower,5,51,92,0.44164587499994923,328,1740996706,267.79469095800005
104,up,lower,5,31,20,0.7425729589999719,328,1740996708,269.2417400420002
105,up,lower,10,99,43,0.7647122500000023,328,1740996714,276.0487243750001
106,up,lower,9,44,23,0.6996313330000703,328,1740996716,277.4527411670001
107,down,lower,8,91,91,0.5518438329997934,328,1740996717,278.70971825000015
108,up,lower,9,77,79,0.4836175410000578,328,1740996718,279.89769275000003
109,up,higher,8,14,50,1.0686708749999525,328,1740996720,281.670676875
110,up,higher,8,51,31,1.3414188330000343,328,1740996722,283.7166315420002
111,up,lower,8,49,20,1.2555987920000007,328,1740996724,285.6767046670002
112,up,higher,7,47,9,1.8713401669999712,328,1740996727,288.2527117080001
113,up,higher,7,60,10,0.9844122499998775,328,1740996728,289.94168545800017
114,up,higher,7,98,4,0.7784072919998835,328,1740996730,291.42456025
115,up,higher,8,82,60,0.37876937500004715,328,1740996731,292.507732625
116,up,lower,8,78,58,0.3584087920000911,328,1740996732,293.5706441250002
117,up,lower,7,93,54,0.5863160410001456,328,1740996733,294.86063583300006
118,up,higher,6,2,41,0.6987671249999039,328,1740996735,296.2637165420001
119,up,higher,6,1,40,1.171355665999954,328,1740996736,298.1396309170002
120,down,higher,6,11,67,0.4364945830000124,328,1740996738,299.28062175000014
