,responses,targets,jitter,n1,n2,rt,pid,abs_time,time
0,down,higher,10,91,11,2.8300699579999673,327,1740477365,74.23872258300003
1,down,lower,9,14,65,2.4089964159999226,327,1740477368,77.35667520800007
2,down,lower,10,23,59,1.0343515829999888,327,1740477370,79.09664833299996
3,up,higher,10,0,5,1.4277624999999716,327,1740477372,81.22974912500001
4,down,lower,10,68,50,0.6950264170000082,327,1740477373,82.62958333300003
5,up,lower,10,70,22,6.463424374999931,327,1740477381,89.79760433299998
6,up,higher,9,47,82,1.2633968330000016,327,1740477383,91.765550083
7,down,lower,9,72,96,0.5740582909999148,327,1740477384,93.04448237500003
8,up,higher,9,75,23,0.6953869999999824,327,1740477385,94.44457220800007
9,down,higher,10,8,44,0.8674316249999947,327,1740477387,96.01761975
10,up,higher,9,34,17,0.5733612080000512,327,1740477388,97.29658716699998
11,down,lower,9,85,71,0.7622478749999573,327,1740477390,98.76356650000002
12,up,higher,9,78,35,0.523649459000012,327,1740477391,99.99247770800002
13,down,lower,10,94,36,0.7078917080000338,327,1740477392,101.40561570800003
14,down,higher,10,86,10,1.558748416999947,327,1740477394,103.66961983300007
15,down,higher,10,75,49,1.1986439590000373,327,1740477399,108.59662962499999
16,up,higher,9,92,68,0.7156020420000004,327,1740477401,110.01749574999997
17,down,higher,10,47,37,0.652102541999966,327,1740477402,111.374491208
18,up,higher,9,21,49,0.557067290999953,327,1740477403,112.63659695800004
19,down,lower,9,2,8,0.723243666999906,327,1740477405,114.06447375000005
20,up,lower,9,31,78,0.6308148750000555,327,1740477406,115.40158595800006
21,down,lower,8,73,61,0.9640580420000333,327,1740477408,117.07450349999999
22,down,lower,8,86,56,10.069075832999943,327,1740477419,127.848686542
23,down,lower,8,72,0,5.46166504200005,327,1740477425,134.01653758300006
24,down,higher,9,54,43,0.7677429579999853,327,1740477426,135.48945254199998
25,down,lower,8,40,29,0.9156897919999665,327,1740477428,137.109511708
26,down,lower,8,65,83,3.935618792000014,327,1740477433,141.75046487500003
27,down,lower,8,87,81,0.4897130419999485,327,1740477434,142.94545066700005
28,up,lower,9,3,88,0.5483963749999248,327,1740477435,144.19852245800007
29,down,higher,10,73,21,1.1102368329999308,327,1740477439,147.80056645800005
30,up,lower,9,66,6,1.7907181670000227,327,1740477441,150.29645074999996
31,down,higher,8,25,94,0.5707772089999708,327,1740477442,151.57247025000004
32,up,higher,7,36,72,0.6059129999999868,327,1740477444,152.886545792
33,down,higher,8,41,32,1.1530700000000706,327,1740477446,154.74448208299998
34,up,lower,7,59,26,1.6229609580000215,327,1740477448,157.07258279200005
35,down,higher,6,1,75,4.176341582999953,327,1740477453,161.95449066700007
36,up,higher,5,69,13,10.414480166999965,327,1740477464,173.077600125
37,down,lower,5,75,17,0.9382954169999493,327,1740477466,174.72147491700002
