,responses,targets,jitter,n1,n2
244,up,higher,0,4,7
245,down,lower,2,3,1
246,up,lower,4,5,1
247,up,lower,2,4,6
248,down,lower,0,0,5
249,down,lower,0,3,2
250,up,higher,0,7,9
251,up,higher,2,1,9
252,up,higher,2,0,5
253,down,lower,2,8,7
254,down,lower,4,8,7
255,up,higher,4,3,5
256,up,higher,4,0,9
257,down,lower,6,8,6
258,down,lower,6,2,1
259,down,lower,6,1,5
260,up,higher,8,4,3
261,up,lower,8,9,1
262,down,higher,6,5,0
263,up,higher,4,8,4
264,up,higher,4,6,7
265,down,higher,4,6,2
266,up,higher,2,9,7
267,down,lower,2,6,5
268,down,lower,2,6,1
269,up,higher,4,9,4
270,up,higher,4,8,7
271,up,higher,4,2,9
272,down,lower,6,1,4
273,down,lower,6,7,1
274,up,higher,6,9,9
275,up,lower,8,8,1
276,up,higher,6,1,5
277,down,higher,6,8,9
278,up,higher,4,6,6
279,down,lower,4,0,9
280,up,higher,4,9,4
281,down,lower,0,9,9
282,up,higher,2,2,9
283,down,lower,4,0,2
284,down,lower,6,0,6
285,down,lower,8,7,6
286,up,lower,10,7,2
287,up,higher,8,6,8
288,down,lower,8,4,3
289,down,lower,8,0,2
290,up,higher,10,4,0
291,up,lower,10,2,2
292,down,higher,8,5,8
293,up,higher,6,4,1
294,down,lower,6,6,0
295,up,higher,6,3,1
296,down,lower,8,1,5
297,up,higher,8,8,6
298,down,higher,8,4,8
299,up,higher,6,3,1
300,down,lower,6,7,3
301,up,higher,6,7,4
302,down,lower,20,0,3
303,up,higher,20,0,4
304,down,lower,20,3,0
305,up,higher,20,9,0
306,down,lower,20,3,7
307,up,lower,20,3,5
308,up,higher,18,3,3
309,down,higher,18,1,0
310,up,lower,16,8,2
311,down,higher,14,9,8
312,up,lower,12,1,4
313,down,lower,10,4,8
314,down,lower,10,2,7
315,down,lower,10,7,8
316,up,higher,12,3,4
317,up,higher,12,0,4
318,down,higher,12,2,4
319,down,lower,10,2,9
320,up,higher,10,5,6
321,down,higher,10,0,0
322,down,lower,8,7,4
323,up,higher,8,9,4
324,down,higher,8,6,1
325,down,lower,6,8,9
326,up,higher,6,6,5
327,down,higher,6,0,8
328,up,higher,4,7,2
329,down,lower,4,2,4
330,down,lower,4,6,8
331,down,lower,6,5,1
332,down,lower,6,6,9
333,up,higher,6,9,6
334,down,higher,8,0,8
335,up,higher,6,3,8
336,down,higher,6,4,2
337,up,higher,4,5,2
338,down,lower,4,6,9
339,down,lower,4,4,6
340,down,lower,0,0,7
341,up,higher,2,6,4
342,up,higher,4,8,4
343,down,lower,6,4,0
344,up,lower,8,0,2
345,down,lower,6,4,1
346,down,lower,6,6,5
347,up,higher,6,6,0
348,up,higher,8,2,6
349,down,lower,8,4,0
350,down,lower,8,8,7
351,up,higher,10,8,0
352,up,lower,10,5,8
353,down,lower,8,7,4
354,up,lower,8,3,3
355,down,lower,6,4,3
356,up,lower,6,3,0
357,down,lower,4,3,7
358,up,higher,4,9,9
359,down,higher,4,0,0
360,down,lower,2,5,6
361,down,lower,2,4,9
362,up,higher,2,2,6
363,down,lower,4,3,6
364,up,lower,4,1,1
365,down,lower,2,8,1
366,up,lower,2,3,4
367,up,higher,0,7,9
368,up,higher,0,7,6
369,down,higher,0,4,9
370,down,higher,0,3,6
371,down,lower,0,8,0
372,down,lower,0,1,7
373,down,lower,0,0,3
374,up,higher,20,9,9
375,down,lower,20,1,2
376,up,lower,20,0,7
377,down,lower,18,2,4
378,down,lower,18,0,1
379,down,lower,18,9,8
380,up,lower,20,2,3
381,up,higher,18,1,1
382,down,lower,18,9,5
383,up,lower,18,1,9
384,down,higher,16,2,1
385,up,higher,14,5,7
386,down,lower,14,4,8
387,up,lower,14,0,0
388,down,higher,12,6,7
389,up,lower,10,8,0
390,down,lower,8,4,3
391,up,higher,8,7,3
392,down,lower,8,2,9
393,up,lower,10,1,0
394,down,higher,8,2,0
395,up,higher,6,8,6
396,down,lower,6,6,2
397,up,lower,6,7,6
398,up,higher,4,0,2
399,down,lower,4,8,4
400,down,lower,4,0,3
401,up,higher,20,8,6
402,up,higher,20,5,5
403,down,higher,20,6,4
404,up,higher,18,8,2
405,down,lower,18,2,6
406,up,lower,18,7,9
407,up,lower,16,8,0
408,down,lower,14,9,8
409,up,higher,14,4,6
410,up,lower,14,4,9
411,down,lower,12,8,3
412,up,higher,12,5,5
413,up,higher,12,7,6
414,down,higher,14,2,7
415,down,lower,12,0,7
416,down,lower,12,7,3
417,down,lower,12,3,3
418,up,lower,14,1,4
419,down,higher,12,6,2
420,up,higher,10,3,1
421,down,lower,10,9,9
422,up,lower,10,5,6
423,up,higher,8,0,6
424,down,lower,8,4,2
425,up,higher,8,0,9
