,responses,targets,jitter,n1,n2,rt,pid,abs_time,time
0,up,higher,10,42,79,1.4215559169999779,320,1739885345,57.144408040999906
1,down,lower,10,85,68,0.7748065840000891,320,1739885347,58.62505620799993
2,up,higher,10,91,21,0.3851445830000557,320,1739885348,59.71611241599999
3,down,higher,10,40,87,2.157335833999923,320,1739885351,62.578120375000026
4,down,higher,9,36,2,1.7785552080001708,320,1739885353,65.06608862500002
5,up,lower,8,57,75,0.44512491699993006,320,1739885354,66.2199647079999
6,down,higher,7,93,9,0.8882177079999565,320,1739885356,67.81701020800006
7,up,lower,6,28,45,0.7841679170001044,320,1739885357,69.30696954099994
8,down,higher,5,42,97,1.2227857079999467,320,1739885359,71.23786795799992
9,down,lower,4,4,13,2.560192458999836,320,1739885363,74.50693379099994
10,up,higher,4,69,35,0.8006370829998559,320,1739885364,76.01288129099999
11,down,lower,4,95,26,0.849436500000138,320,1739885366,77.56791729099996
12,up,lower,5,53,20,1.490854625000111,320,1739885368,79.76395137500003
13,up,higher,4,89,87,0.4935763329999645,320,1739885369,80.96299199999999
14,down,lower,4,13,83,0.47401187500008746,320,1739885370,82.14198424999995
15,up,lower,4,81,18,1.604168374999972,320,1739885373,84.45088779100001
16,up,higher,3,33,24,0.5639377499999227,320,1739885374,85.72395974999995
17,down,lower,3,19,14,0.5868900000000394,320,1739885375,87.01594079100005
18,down,lower,3,62,2,3.917936707999843,320,1739885380,91.63893525000003
19,down,lower,4,63,12,1.2854880830000184,320,1739885382,93.629878125
20,up,higher,4,82,12,0.7149700830000256,320,1739885383,95.04992158300001
21,down,higher,4,47,64,0.8905307910001738,320,1739885385,96.64488899999992
22,down,lower,3,39,40,2.040465875000109,320,1739885388,99.39004570800012
23,up,higher,3,38,45,0.4312862080000741,320,1739885389,100.52688379100005
24,down,lower,3,7,53,0.7658368750001046,320,1739885390,101.99692041599997
25,down,lower,0,64,94,1.2059987079999246,320,1739885394,106.11290208300011
26,down,lower,1,93,71,0.8787056659998598,320,1739885396,107.69787604099997
27,up,higher,2,93,37,1.7269212500000322,320,1739885398,110.12985729100001
28,down,lower,3,66,60,0.5503914999999324,320,1739885400,111.38592291600003
29,down,lower,4,12,98,0.7992822090000118,320,1739885401,112.88991112500003
30,up,lower,5,12,6,0.6521329169997898,320,1739885402,114.24686425000004
31,up,lower,4,58,3,0.3818636250000509,320,1739885403,115.33393058299998
32,up,higher,3,38,67,1.82067875000007,320,1739885406,117.85877774999994
33,up,higher,3,84,41,0.5345049160000599,320,1739885407,119.09895766599993
34,down,lower,3,67,27,0.9020310829998834,320,1739885409,120.70585508299996
35,up,higher,4,8,72,1.4508257920001597,320,1739885411,122.86189195800011
36,down,lower,4,79,81,0.6910983340001167,320,1739885412,124.25889541600009
37,up,higher,4,89,48,1.3126503339999545,320,1739885414,126.27682420800011
38,down,lower,5,65,29,0.9734710000000177,320,1739885416,127.955875333
39,up,higher,5,91,74,1.2249790000000758,320,1739885418,129.8859393329999
40,up,higher,5,63,64,1.5103590420001183,320,1739885420,132.1019040829999
41,down,lower,6,67,17,0.6185232079999423,320,1739885422,133.4258452910001
42,up,lower,6,89,20,1.4348640409998552,320,1739885424,135.56586304100006
43,down,higher,5,40,11,0.9090630000000601,320,1739885425,137.17982329100005
44,up,higher,4,75,5,0.9994036250000136,320,1739885427,138.883817916
45,up,higher,4,6,39,0.6649015000000418,320,1739885428,140.25386125
46,down,lower,4,95,96,0.5051894999999149,320,1739885430,141.46379887500007
47,down,lower,5,76,20,2.7967489590000696,320,1739885433,144.96589587500011
48,up,higher,5,37,66,0.8471930840000823,320,1739885435,146.518828708
49,up,higher,5,33,22,0.6024266669999179,320,1739885436,147.826906666
50,up,lower,6,56,40,0.7075670420001643,320,1739885437,149.23985137499994
51,up,lower,5,5,39,1.1745829579999736,320,1739885439,151.1199529160001
52,up,higher,4,42,42,0.7797407089999524,320,1739885441,152.6047383749999
53,up,higher,4,21,26,0.6942264589999922,320,1739885442,154.0038112499999
54,up,higher,4,47,83,0.6759963750000679,320,1739885444,155.38482720799993
55,up,higher,0,97,7,1.9263621669999793,320,1739885447,159.30480899999998
