,pid,jitter,x,sum,total,%,levels
0,0,0,"(0, 0)",78,122,0.639344262295082,0.0
1,0,1,"(0, 1)",15,31,0.4838709677419355,0.005
2,0,2,"(0, 2)",8,13,0.6153846153846154,0.008340502686000294
3,0,3,"(0, 3)",11,15,0.7333333333333333,0.01391279701103562
4,0,4,"(0, 4)",3,7,0.42857142857142855,0.023207944168063883
5,0,5,"(0, 5)",4,7,0.5714285714285714,0.03871318413405634
6,0,6,"(0, 6)",4,8,0.5,0.0645774832507442
7,0,7,"(0, 7)",7,10,0.7,0.10772173450159415
8,0,8,"(0, 8)",9,12,0.75,0.17969068319023127
9,0,9,"(0, 9)",6,12,0.5,0.2997421251594704
10,0,10,"(0, 10)",2,6,0.3333333333333333,0.5
11,1,0,"(1, 0)",9,9,1.0,0.0
12,1,1,"(1, 1)",9,9,1.0,0.005
13,1,2,"(1, 2)",12,12,1.0,0.008340502686000294
14,1,3,"(1, 3)",14,15,0.9333333333333333,0.01391279701103562
15,1,4,"(1, 4)",50,51,0.9803921568627451,0.023207944168063883
16,1,5,"(1, 5)",94,107,0.8785046728971962,0.03871318413405634
17,1,6,"(1, 6)",57,87,0.6551724137931034,0.0645774832507442
18,1,7,"(1, 7)",27,46,0.5869565217391305,0.10772173450159415
19,1,8,"(1, 8)",17,31,0.5483870967741935,0.17969068319023127
20,1,9,"(1, 9)",7,17,0.4117647058823529,0.2997421251594704
21,1,10,"(1, 10)",13,22,0.5909090909090909,0.5
22,2,0,"(2, 0)",99,140,0.7071428571428572,0.0
23,2,1,"(2, 1)",49,69,0.7101449275362319,0.005
24,2,2,"(2, 2)",34,46,0.7391304347826086,0.008340502686000294
25,2,3,"(2, 3)",26,37,0.7027027027027027,0.01391279701103562
26,2,4,"(2, 4)",22,31,0.7096774193548387,0.023207944168063883
27,2,5,"(2, 5)",22,32,0.6875,0.03871318413405634
28,2,6,"(2, 6)",3,13,0.23076923076923078,0.0645774832507442
29,2,7,"(2, 7)",1,6,0.16666666666666666,0.10772173450159415
30,2,8,"(2, 8)",12,16,0.75,0.17969068319023127
31,2,9,"(2, 9)",7,15,0.4666666666666667,0.2997421251594704
32,2,10,"(2, 10)",2,7,0.2857142857142857,0.5
33,3,0,"(3, 0)",69,103,0.6699029126213593,0.0
34,3,1,"(3, 1)",43,57,0.7543859649122807,0.005
35,3,2,"(3, 2)",30,42,0.7142857142857143,0.008340502686000294
36,3,3,"(3, 3)",28,39,0.717948717948718,0.01391279701103562
37,3,4,"(3, 4)",48,57,0.8421052631578947,0.023207944168063883
38,3,5,"(3, 5)",30,50,0.6,0.03871318413405634
39,3,6,"(3, 6)",9,21,0.42857142857142855,0.0645774832507442
40,3,7,"(3, 7)",9,20,0.45,0.10772173450159415
41,3,8,"(3, 8)",10,21,0.47619047619047616,0.17969068319023127
42,3,9,"(3, 9)",6,17,0.35294117647058826,0.2997421251594704
43,3,10,"(3, 10)",10,19,0.5263157894736842,0.5
44,4,0,"(4, 0)",23,23,1.0,0.0
45,4,1,"(4, 1)",28,33,0.8484848484848485,0.005
46,4,2,"(4, 2)",19,25,0.76,0.008340502686000294
47,4,3,"(4, 3)",50,55,0.9090909090909091,0.01391279701103562
48,4,4,"(4, 4)",70,85,0.8235294117647058,0.023207944168063883
49,4,5,"(4, 5)",72,96,0.75,0.03871318413405634
50,4,6,"(4, 6)",34,59,0.576271186440678,0.0645774832507442
51,4,7,"(4, 7)",14,28,0.5,0.10772173450159415
52,4,8,"(4, 8)",10,20,0.5,0.17969068319023127
53,4,9,"(4, 9)",7,16,0.4375,0.2997421251594704
54,4,10,"(4, 10)",10,18,0.5555555555555556,0.5
55,5,0,"(5, 0)",44,54,0.8148148148148148,0.0
56,5,1,"(5, 1)",49,60,0.8166666666666667,0.005
57,5,2,"(5, 2)",49,62,0.7903225806451613,0.008340502686000294
58,5,3,"(5, 3)",30,43,0.6976744186046512,0.01391279701103562
59,5,4,"(5, 4)",29,39,0.7435897435897436,0.023207944168063883
60,5,5,"(5, 5)",26,38,0.6842105263157895,0.03871318413405634
61,5,6,"(5, 6)",8,19,0.42105263157894735,0.0645774832507442
62,5,7,"(5, 7)",16,23,0.6956521739130435,0.10772173450159415
63,5,8,"(5, 8)",10,20,0.5,0.17969068319023127
64,5,9,"(5, 9)",20,28,0.7142857142857143,0.2997421251594704
65,5,10,"(5, 10)",20,34,0.5882352941176471,0.5
66,6,0,"(6, 0)",75,107,0.7009345794392523,0.0
67,6,1,"(6, 1)",29,46,0.6304347826086957,0.005
68,6,2,"(6, 2)",27,38,0.7105263157894737,0.008340502686000294
69,6,3,"(6, 3)",33,46,0.717391304347826,0.01391279701103562
70,6,4,"(6, 4)",40,56,0.7142857142857143,0.023207944168063883
71,6,5,"(6, 5)",23,41,0.5609756097560976,0.03871318413405634
72,6,6,"(6, 6)",18,31,0.5806451612903226,0.0645774832507442
73,6,7,"(6, 7)",17,28,0.6071428571428571,0.10772173450159415
74,6,8,"(6, 8)",9,20,0.45,0.17969068319023127
75,6,9,"(6, 9)",14,24,0.5833333333333334,0.2997421251594704
76,6,10,"(6, 10)",9,20,0.45,0.5
77,7,0,"(7, 0)",15,17,0.8823529411764706,0.0
78,7,2,"(7, 2)",17,19,0.8947368421052632,0.008340502686000294
79,7,4,"(7, 4)",44,48,0.9166666666666666,0.023207944168063883
80,7,6,"(7, 6)",54,65,0.8307692307692308,0.0645774832507442
81,7,8,"(7, 8)",77,97,0.7938144329896907,0.17969068319023127
82,7,10,"(7, 10)",31,56,0.5535714285714286,0.5
83,7,12,"(7, 12)",13,26,0.5,12.0
84,7,14,"(7, 14)",9,19,0.47368421052631576,14.0
85,7,16,"(7, 16)",9,18,0.5,16.0
86,7,18,"(7, 18)",20,29,0.6896551724137931,18.0
87,7,20,"(7, 20)",19,32,0.59375,20.0
88,8,0,"(8, 0)",31,32,0.96875,0.0
89,8,1,"(8, 1)",29,36,0.8055555555555556,0.005
90,8,2,"(8, 2)",41,46,0.8913043478260869,0.008340502686000294
91,8,3,"(8, 3)",46,56,0.8214285714285714,0.01391279701103562
92,8,4,"(8, 4)",79,93,0.8494623655913979,0.023207944168063883
93,8,5,"(8, 5)",32,58,0.5517241379310345,0.03871318413405634
94,8,6,"(8, 6)",14,27,0.5185185185185185,0.0645774832507442
95,8,7,"(8, 7)",13,23,0.5652173913043478,0.10772173450159415
96,8,8,"(8, 8)",6,15,0.4,0.17969068319023127
97,8,9,"(8, 9)",11,19,0.5789473684210527,0.2997421251594704
98,8,10,"(8, 10)",10,19,0.5263157894736842,0.5
99,9,0,"(9, 0)",12,13,0.9230769230769231,0.0
100,9,1,"(9, 1)",15,17,0.8823529411764706,0.005
101,9,2,"(9, 2)",19,21,0.9047619047619048,0.008340502686000294
102,9,3,"(9, 3)",48,51,0.9411764705882353,0.01391279701103562
103,9,4,"(9, 4)",80,93,0.8602150537634409,0.023207944168063883
104,9,5,"(9, 5)",40,68,0.5882352941176471,0.03871318413405634
105,9,6,"(9, 6)",17,32,0.53125,0.0645774832507442
106,9,7,"(9, 7)",17,29,0.5862068965517241,0.10772173450159415
107,9,8,"(9, 8)",12,24,0.5,0.17969068319023127
108,9,9,"(9, 9)",15,28,0.5357142857142857,0.2997421251594704
109,9,10,"(9, 10)",10,22,0.45454545454545453,0.5
110,10,0,"(10, 0)",279,758,0.36807387862796836,0.0
111,10,1,"(10, 1)",24,59,0.4067796610169492,0.005
112,10,2,"(10, 2)",7,16,0.4375,0.008340502686000294
113,10,3,"(10, 3)",2,9,0.2222222222222222,0.01391279701103562
114,10,4,"(10, 4)",2,8,0.25,0.023207944168063883
115,10,5,"(10, 5)",4,10,0.4,0.03871318413405634
116,10,6,"(10, 6)",5,11,0.45454545454545453,0.0645774832507442
117,10,7,"(10, 7)",13,20,0.65,0.10772173450159415
